OrderID,TransType,UserID,CryptocurrencyID,CryptoAmount,Timestamp
CryTrans700001,Crypto Deposit,USR803,CRY1,53.06,2023-12-05 12:41:43.618975
CryTrans700002,Crypto Withdrawl,USR8492,CRY2,51.3,2023-06-08 21:51:09.817202
CryTrans700003,Crypto Deposit,USR8248,CRY9,36.41,2024-01-12 10:10:59.203880
CryTrans700004,Crypto Deposit,USR5612,CRY1,44.83,2024-01-01 20:09:10.437886
CryTrans700005,Crypto Deposit,USR3455,CRY8,73.17,2023-02-23 22:18:38.091531
CryTrans700006,Crypto Deposit,USR5620,CRY7,87.51,2023-12-26 16:57:54.509012
CryTrans700007,Crypto Deposit,USR4934,CRY3,26.61,2023-04-05 00:33:06.347642
CryTrans700008,Crypto Withdrawl,USR7287,CRY10,95.86,2023-03-21 01:35:25.490970
CryTrans700009,Crypto Withdrawl,USR3194,CRY6,19.85,2023-05-29 14:56:22.756770
CryTrans700010,Crypto Withdrawl,USR6883,CRY7,92.17,2023-08-05 03:53:22.832120
CryTrans700011,Crypto Deposit,USR2244,CRY5,48.52,2023-02-26 09:58:21.383157
CryTrans700012,Crypto Deposit,USR6494,CRY1,86.46,2023-06-16 16:39:54.049478
CryTrans700013,Crypto Deposit,USR8134,CRY2,16.28,2023-09-16 09:15:26.969154
CryTrans700014,Crypto Deposit,USR9798,CRY3,61.16,2023-05-29 06:17:59.613732
CryTrans700015,Crypto Withdrawl,USR7124,CRY9,24.2,2023-09-18 16:38:43.635124
CryTrans700016,Crypto Deposit,USR5447,CRY2,12.03,2023-02-24 00:15:53.840959
CryTrans700017,Crypto Deposit,USR1765,CRY3,43.01,2023-10-22 19:01:55.981772
CryTrans700018,Crypto Deposit,USR7823,CRY2,66.84,2023-05-05 08:41:08.048106
CryTrans700019,Crypto Withdrawl,USR5237,CRY3,49.69,2023-09-21 01:58:35.280640
CryTrans700020,Crypto Deposit,USR5123,CRY5,1.73,2023-06-08 09:19:45.557314
CryTrans700021,Crypto Deposit,USR4109,CRY10,6.69,2023-03-30 18:37:57.983012
CryTrans700022,Crypto Withdrawl,USR7480,CRY7,56.4,2023-08-27 02:46:52.281430
CryTrans700023,Crypto Withdrawl,USR998,CRY7,0.72,2023-12-05 13:24:34.742477
CryTrans700024,Crypto Withdrawl,USR4704,CRY4,62.95,2023-08-31 08:42:05.408722
CryTrans700025,Crypto Deposit,USR6178,CRY5,47.09,2023-03-02 12:39:35.046897
CryTrans700026,Crypto Deposit,USR5326,CRY6,73.4,2023-04-09 12:36:27.229872
CryTrans700027,Crypto Withdrawl,USR8658,CRY7,78.54,2023-03-03 19:06:24.048355
CryTrans700028,Crypto Deposit,USR3208,CRY3,30.82,2023-10-19 00:56:15.491692
CryTrans700029,Crypto Withdrawl,USR2141,CRY8,47.48,2023-08-18 18:42:09.280544
CryTrans700030,Crypto Deposit,USR9357,CRY6,58.26,2023-11-04 08:17:18.924236
CryTrans700031,Crypto Deposit,USR7770,CRY5,56.23,2023-08-03 11:27:41.897400
CryTrans700032,Crypto Deposit,USR9275,CRY1,30.53,2023-05-10 05:42:28.213793
CryTrans700033,Crypto Deposit,USR5517,CRY4,56.15,2023-07-26 10:34:50.879407
CryTrans700034,Crypto Withdrawl,USR4184,CRY5,40.93,2023-04-13 15:36:38.366539
CryTrans700035,Crypto Deposit,USR5900,CRY3,81.62,2023-05-26 05:52:38.126945
CryTrans700036,Crypto Withdrawl,USR3821,CRY4,9.97,2023-02-12 15:47:36.504838
CryTrans700037,Crypto Deposit,USR4759,CRY5,53.76,2023-12-11 03:21:19.766454
CryTrans700038,Crypto Withdrawl,USR4268,CRY7,73.36,2023-06-19 21:33:35.948381
CryTrans700039,Crypto Withdrawl,USR465,CRY10,20.11,2023-03-12 05:11:34.105722
CryTrans700040,Crypto Withdrawl,USR3622,CRY6,60.99,2023-12-30 13:59:34.861263
CryTrans700041,Crypto Withdrawl,USR1531,CRY4,64.26,2023-03-08 19:05:22.582704
CryTrans700042,Crypto Withdrawl,USR800,CRY10,88.22,2024-02-05 06:09:36.538244
CryTrans700043,Crypto Deposit,USR2787,CRY8,59.75,2023-02-17 09:36:25.911754
CryTrans700044,Crypto Deposit,USR2619,CRY7,7.91,2023-07-24 22:05:07.041496
CryTrans700045,Crypto Deposit,USR9412,CRY1,86.39,2023-12-04 14:40:53.136411
CryTrans700046,Crypto Deposit,USR2867,CRY5,96.36,2023-06-23 08:17:39.624849
CryTrans700047,Crypto Withdrawl,USR8848,CRY1,96.65,2023-12-04 20:51:13.881790
CryTrans700048,Crypto Deposit,USR5503,CRY6,32.96,2023-05-25 13:50:00.800022
CryTrans700049,Crypto Deposit,USR7898,CRY3,89.44,2023-08-13 04:57:29.630800
CryTrans700050,Crypto Withdrawl,USR1669,CRY4,79.81,2023-05-24 19:02:19.220270
CryTrans700051,Crypto Deposit,USR489,CRY10,23.13,2023-07-20 14:22:07.833201
CryTrans700052,Crypto Withdrawl,USR2897,CRY10,23.81,2023-04-18 03:06:06.033070
CryTrans700053,Crypto Deposit,USR2357,CRY7,8.11,2023-09-17 12:33:57.312574
CryTrans700054,Crypto Deposit,USR584,CRY8,20.27,2023-11-07 23:56:55.069844
CryTrans700055,Crypto Deposit,USR6173,CRY3,46.28,2024-01-27 19:23:26.718495
CryTrans700056,Crypto Withdrawl,USR476,CRY7,33.85,2023-04-13 17:20:49.556725
CryTrans700057,Crypto Deposit,USR9222,CRY1,53.79,2023-06-07 09:04:16.401021
CryTrans700058,Crypto Withdrawl,USR1175,CRY4,59.25,2023-04-23 06:55:20.495067
CryTrans700059,Crypto Withdrawl,USR2760,CRY1,77.91,2023-06-04 16:13:24.350120
CryTrans700060,Crypto Deposit,USR8579,CRY3,66.5,2023-04-02 23:51:34.449710
CryTrans700061,Crypto Deposit,USR3983,CRY1,72.03,2024-02-05 12:18:09.414128
CryTrans700062,Crypto Withdrawl,USR6695,CRY1,10.93,2023-09-12 17:45:52.734037
CryTrans700063,Crypto Deposit,USR8628,CRY8,32.41,2024-01-03 13:07:09.403836
CryTrans700064,Crypto Deposit,USR7027,CRY4,39.23,2023-06-30 12:06:49.787892
CryTrans700065,Crypto Withdrawl,USR1717,CRY9,20.34,2023-12-14 13:45:01.383981
CryTrans700066,Crypto Deposit,USR4153,CRY7,38.67,2023-08-18 12:20:38.851879
CryTrans700067,Crypto Deposit,USR9272,CRY10,64.28,2024-01-10 11:15:56.418554
CryTrans700068,Crypto Deposit,USR7020,CRY1,19.39,2023-09-11 06:15:18.824516
CryTrans700069,Crypto Deposit,USR7402,CRY4,95.55,2023-08-16 15:57:17.131048
CryTrans700070,Crypto Withdrawl,USR5238,CRY7,9.39,2023-07-09 05:17:00.312140
CryTrans700071,Crypto Deposit,USR7260,CRY10,92.05,2023-02-17 06:34:34.499529
CryTrans700072,Crypto Deposit,USR8507,CRY9,56.97,2024-01-02 04:31:46.580000
CryTrans700073,Crypto Deposit,USR1369,CRY8,15.65,2023-02-11 23:11:49.749291
CryTrans700074,Crypto Deposit,USR4183,CRY4,2.02,2023-03-08 20:04:58.231039
CryTrans700075,Crypto Withdrawl,USR4410,CRY5,0.94,2023-11-17 14:52:03.636539
CryTrans700076,Crypto Withdrawl,USR4098,CRY2,12.75,2024-01-06 20:06:42.742310
CryTrans700077,Crypto Deposit,USR3502,CRY8,99.2,2023-04-05 12:11:02.973695
CryTrans700078,Crypto Deposit,USR3411,CRY6,73.42,2023-10-19 01:22:54.265342
CryTrans700079,Crypto Deposit,USR9964,CRY2,98.24,2023-11-24 19:15:49.743754
CryTrans700080,Crypto Deposit,USR1215,CRY8,67.87,2023-05-21 21:22:26.112157
CryTrans700081,Crypto Deposit,USR9098,CRY4,79.22,2023-11-12 20:55:23.648577
CryTrans700082,Crypto Deposit,USR6568,CRY4,73.84,2023-06-04 01:20:42.044919
CryTrans700083,Crypto Deposit,USR5159,CRY8,98.55,2023-05-03 15:24:37.605767
CryTrans700084,Crypto Deposit,USR5520,CRY8,52.13,2023-06-17 01:55:31.207423
CryTrans700085,Crypto Deposit,USR6180,CRY10,46.53,2023-11-10 09:35:55.249087
CryTrans700086,Crypto Withdrawl,USR6234,CRY2,60.68,2023-05-29 00:32:15.326771
CryTrans700087,Crypto Withdrawl,USR4482,CRY7,81.17,2023-10-30 04:04:34.021206
CryTrans700088,Crypto Withdrawl,USR595,CRY6,45.55,2023-09-05 16:16:30.058619
CryTrans700089,Crypto Deposit,USR4177,CRY1,21.35,2023-08-15 02:43:22.661339
CryTrans700090,Crypto Withdrawl,USR6853,CRY4,42.96,2023-07-08 10:02:32.309871
CryTrans700091,Crypto Withdrawl,USR3308,CRY7,16.18,2023-02-28 05:34:33.926888
CryTrans700092,Crypto Deposit,USR2449,CRY6,87.06,2023-11-16 03:12:13.442414
CryTrans700093,Crypto Deposit,USR3185,CRY9,64.06,2023-10-02 14:16:52.776420
CryTrans700094,Crypto Withdrawl,USR8089,CRY5,50.38,2023-02-11 08:08:53.355239
CryTrans700095,Crypto Withdrawl,USR7681,CRY4,37.97,2024-01-28 06:42:26.356474
CryTrans700096,Crypto Deposit,USR7357,CRY8,2.05,2024-01-28 18:48:48.145015
CryTrans700097,Crypto Withdrawl,USR6289,CRY10,48.1,2023-10-26 21:27:49.593808
CryTrans700098,Crypto Deposit,USR3034,CRY1,19.56,2023-03-15 21:59:03.474267
CryTrans700099,Crypto Deposit,USR3962,CRY6,32.36,2023-06-02 02:05:14.964613
CryTrans700100,Crypto Deposit,USR3353,CRY2,14.81,2023-02-19 00:31:51.202808
CryTrans700101,Crypto Deposit,USR4786,CRY7,59.34,2023-03-31 13:31:07.931448
CryTrans700102,Crypto Deposit,USR9571,CRY2,69.99,2023-03-27 19:41:30.976027
CryTrans700103,Crypto Deposit,USR1508,CRY6,92.64,2023-04-18 05:20:19.553908
CryTrans700104,Crypto Withdrawl,USR9095,CRY6,31.6,2023-05-27 19:07:56.450486
CryTrans700105,Crypto Deposit,USR1130,CRY10,61.39,2023-07-28 07:27:39.405544
CryTrans700106,Crypto Withdrawl,USR7537,CRY4,12.55,2023-04-10 11:51:07.859040
CryTrans700107,Crypto Withdrawl,USR4867,CRY3,90.1,2023-08-09 10:59:57.501806
CryTrans700108,Crypto Withdrawl,USR9921,CRY1,74.24,2024-02-10 10:28:13.895932
CryTrans700109,Crypto Withdrawl,USR3809,CRY2,73.87,2024-01-21 14:40:50.211592
CryTrans700110,Crypto Deposit,USR6774,CRY9,74.49,2023-03-30 21:55:13.192155
CryTrans700111,Crypto Deposit,USR3345,CRY10,76.35,2023-07-21 08:13:45.524776
CryTrans700112,Crypto Withdrawl,USR7263,CRY6,66.94,2023-08-19 22:04:25.633066
CryTrans700113,Crypto Deposit,USR1875,CRY4,83.42,2023-02-17 01:25:35.827648
CryTrans700114,Crypto Withdrawl,USR3636,CRY9,86.44,2023-12-12 07:20:40.258799
CryTrans700115,Crypto Withdrawl,USR1295,CRY5,15.35,2024-01-10 02:30:34.439059
CryTrans700116,Crypto Withdrawl,USR7111,CRY5,87.84,2024-01-17 01:30:04.528830
CryTrans700117,Crypto Deposit,USR2680,CRY10,83.23,2023-04-04 10:21:34.626406
CryTrans700118,Crypto Deposit,USR8039,CRY2,1.98,2023-04-13 12:54:51.158501
CryTrans700119,Crypto Deposit,USR2982,CRY1,46.74,2023-11-28 17:46:08.338577
CryTrans700120,Crypto Deposit,USR3360,CRY9,67.48,2023-12-23 15:05:18.689686
CryTrans700121,Crypto Deposit,USR8418,CRY5,16.8,2023-11-11 10:42:31.735004
CryTrans700122,Crypto Deposit,USR5525,CRY5,85.39,2023-02-25 10:10:01.659598
CryTrans700123,Crypto Withdrawl,USR3229,CRY10,94.5,2023-06-25 01:50:36.528540
CryTrans700124,Crypto Deposit,USR2267,CRY2,35.85,2023-04-08 14:30:47.732290
CryTrans700125,Crypto Withdrawl,USR3242,CRY7,12.09,2023-02-28 17:02:28.948818
CryTrans700126,Crypto Withdrawl,USR3257,CRY6,81.63,2023-07-19 01:29:26.332258
CryTrans700127,Crypto Deposit,USR1754,CRY1,34.62,2023-11-21 16:34:12.783885
CryTrans700128,Crypto Deposit,USR8588,CRY4,17.54,2023-05-28 00:02:52.061100
CryTrans700129,Crypto Withdrawl,USR2698,CRY2,40.08,2023-08-31 11:37:57.428921
CryTrans700130,Crypto Withdrawl,USR6522,CRY6,45.12,2023-02-12 21:27:13.962856
CryTrans700131,Crypto Deposit,USR8378,CRY4,59.48,2023-06-09 13:34:19.590765
CryTrans700132,Crypto Deposit,USR3007,CRY10,73.21,2023-11-29 09:48:59.088201
CryTrans700133,Crypto Withdrawl,USR9049,CRY8,9.8,2023-03-09 01:28:24.814301
CryTrans700134,Crypto Withdrawl,USR6383,CRY9,96.81,2023-07-26 11:55:59.666361
CryTrans700135,Crypto Withdrawl,USR1548,CRY5,81.54,2023-04-22 21:43:57.114160
CryTrans700136,Crypto Withdrawl,USR6612,CRY3,35.5,2023-02-28 12:43:52.116342
CryTrans700137,Crypto Deposit,USR9650,CRY10,41.41,2023-09-14 22:02:07.525279
CryTrans700138,Crypto Deposit,USR8472,CRY4,3.32,2023-03-28 14:32:02.159224
CryTrans700139,Crypto Deposit,USR8317,CRY9,93.95,2023-12-30 13:11:15.519980
CryTrans700140,Crypto Withdrawl,USR2304,CRY2,58.97,2023-05-25 02:55:58.952617
CryTrans700141,Crypto Withdrawl,USR2517,CRY4,20.86,2023-09-26 09:04:33.632917
CryTrans700142,Crypto Withdrawl,USR7969,CRY10,62.21,2023-02-20 07:39:15.971329
CryTrans700143,Crypto Withdrawl,USR7369,CRY5,18.67,2023-04-23 15:01:29.079509
CryTrans700144,Crypto Deposit,USR1470,CRY8,7.87,2023-04-05 22:05:21.967688
CryTrans700145,Crypto Deposit,USR4648,CRY1,39.73,2023-11-03 21:46:48.493738
CryTrans700146,Crypto Deposit,USR2627,CRY2,34.17,2023-09-16 05:50:29.596360
CryTrans700147,Crypto Deposit,USR3540,CRY8,94.36,2023-05-13 10:56:22.880880
CryTrans700148,Crypto Deposit,USR1278,CRY9,61.5,2024-01-30 19:34:45.231364
CryTrans700149,Crypto Withdrawl,USR2271,CRY1,42.92,2023-10-08 12:14:31.818026
CryTrans700150,Crypto Deposit,USR7082,CRY8,31.24,2023-12-09 08:48:34.458981
CryTrans700151,Crypto Deposit,USR6072,CRY10,99.57,2023-11-02 07:16:56.777002
CryTrans700152,Crypto Withdrawl,USR2846,CRY1,98.45,2023-07-14 14:43:42.184980
CryTrans700153,Crypto Deposit,USR9428,CRY5,33.8,2023-10-30 03:27:28.990221
CryTrans700154,Crypto Deposit,USR6798,CRY1,7.48,2023-04-28 19:31:07.699941
CryTrans700155,Crypto Withdrawl,USR7698,CRY3,27.96,2023-09-09 21:28:10.593610
CryTrans700156,Crypto Deposit,USR1806,CRY8,96.03,2023-09-02 01:57:42.913743
CryTrans700157,Crypto Withdrawl,USR8328,CRY6,77.57,2023-12-26 17:37:01.549199
CryTrans700158,Crypto Withdrawl,USR3860,CRY4,89.43,2023-06-03 19:32:49.548776
CryTrans700159,Crypto Deposit,USR7229,CRY9,0.31,2023-11-20 03:06:58.488504
CryTrans700160,Crypto Deposit,USR5573,CRY1,38.59,2023-05-16 21:58:28.073503
CryTrans700161,Crypto Withdrawl,USR4490,CRY9,31.52,2024-01-03 17:12:07.697996
CryTrans700162,Crypto Deposit,USR101,CRY4,90.19,2024-01-02 13:46:06.917657
CryTrans700163,Crypto Withdrawl,USR9310,CRY6,84.73,2023-09-10 05:52:33.202053
CryTrans700164,Crypto Withdrawl,USR2947,CRY3,78.86,2023-08-16 07:03:45.395720
CryTrans700165,Crypto Withdrawl,USR3872,CRY1,70.75,2023-03-15 18:11:16.896768
CryTrans700166,Crypto Deposit,USR3444,CRY7,9.9,2023-12-01 10:13:12.841151
CryTrans700167,Crypto Withdrawl,USR6291,CRY5,20.47,2023-12-31 18:24:54.985852
CryTrans700168,Crypto Deposit,USR2649,CRY6,95.34,2023-08-30 13:56:00.158605
CryTrans700169,Crypto Deposit,USR6048,CRY10,84.47,2023-10-08 08:36:03.936612
CryTrans700170,Crypto Withdrawl,USR3400,CRY8,46.05,2023-12-08 18:32:51.033625
CryTrans700171,Crypto Withdrawl,USR9456,CRY10,7.22,2024-01-25 22:52:46.497891
CryTrans700172,Crypto Withdrawl,USR3656,CRY8,54.94,2023-11-22 15:19:08.815596
CryTrans700173,Crypto Deposit,USR486,CRY1,25.43,2023-09-09 17:41:32.005017
CryTrans700174,Crypto Deposit,USR4241,CRY8,33.35,2024-01-22 02:30:35.273950
CryTrans700175,Crypto Withdrawl,USR2030,CRY10,64.49,2023-11-05 05:31:34.306158
CryTrans700176,Crypto Deposit,USR777,CRY8,31.45,2023-03-12 07:06:48.650682
CryTrans700177,Crypto Deposit,USR3439,CRY5,26.98,2023-09-27 07:23:25.008375
CryTrans700178,Crypto Withdrawl,USR7007,CRY1,53.22,2024-01-01 14:31:49.675308
CryTrans700179,Crypto Withdrawl,USR4549,CRY9,80.95,2024-01-29 02:29:51.836688
CryTrans700180,Crypto Withdrawl,USR8495,CRY7,94.31,2023-11-14 11:45:07.932910
CryTrans700181,Crypto Withdrawl,USR2965,CRY1,50.96,2023-09-16 05:43:53.446407
CryTrans700182,Crypto Withdrawl,USR9135,CRY6,7.94,2023-03-25 05:14:41.879179
CryTrans700183,Crypto Withdrawl,USR3977,CRY4,13.29,2023-10-26 07:51:33.238482
CryTrans700184,Crypto Withdrawl,USR7134,CRY8,45.01,2023-07-18 11:58:20.554145
CryTrans700185,Crypto Deposit,USR1892,CRY8,49.32,2023-08-25 10:14:39.134181
CryTrans700186,Crypto Withdrawl,USR2993,CRY10,6.9,2023-04-15 10:53:21.869112
CryTrans700187,Crypto Deposit,USR3679,CRY10,44.0,2023-09-10 21:02:29.236816
CryTrans700188,Crypto Deposit,USR4956,CRY1,52.24,2023-12-10 23:43:47.047479
CryTrans700189,Crypto Deposit,USR7071,CRY5,16.77,2023-12-09 16:13:29.767859
CryTrans700190,Crypto Withdrawl,USR5311,CRY7,86.11,2023-04-25 23:52:48.262598
CryTrans700191,Crypto Withdrawl,USR1110,CRY10,65.64,2024-01-25 14:31:12.907123
CryTrans700192,Crypto Withdrawl,USR238,CRY5,67.91,2023-11-20 05:37:48.262390
CryTrans700193,Crypto Deposit,USR4691,CRY10,3.41,2024-01-20 22:22:55.330908
CryTrans700194,Crypto Deposit,USR9204,CRY4,28.56,2023-08-07 05:56:01.618402
CryTrans700195,Crypto Withdrawl,USR8970,CRY1,76.32,2023-09-29 19:30:00.339248
CryTrans700196,Crypto Withdrawl,USR1328,CRY2,40.85,2023-12-13 06:51:48.279332
CryTrans700197,Crypto Withdrawl,USR9418,CRY10,75.7,2023-11-15 18:46:53.271154
CryTrans700198,Crypto Withdrawl,USR5713,CRY5,39.57,2023-07-18 12:16:54.009841
CryTrans700199,Crypto Deposit,USR274,CRY7,19.35,2023-06-18 06:46:08.487146
CryTrans700200,Crypto Withdrawl,USR5761,CRY3,93.94,2023-09-21 12:57:10.574967
CryTrans700201,Crypto Deposit,USR8761,CRY4,75.02,2023-08-24 15:21:35.083279
CryTrans700202,Crypto Withdrawl,USR4391,CRY3,64.35,2023-04-10 08:24:09.639803
CryTrans700203,Crypto Withdrawl,USR2718,CRY4,42.36,2023-08-13 17:45:14.143364
CryTrans700204,Crypto Deposit,USR6084,CRY9,60.75,2024-01-16 09:42:01.097729
CryTrans700205,Crypto Deposit,USR2289,CRY1,93.89,2023-09-06 17:31:53.288555
CryTrans700206,Crypto Withdrawl,USR2768,CRY9,94.32,2023-10-09 05:02:52.990046
CryTrans700207,Crypto Deposit,USR4974,CRY5,61.99,2023-03-31 09:17:35.691211
CryTrans700208,Crypto Withdrawl,USR7223,CRY6,73.47,2023-08-16 17:29:04.208634
CryTrans700209,Crypto Deposit,USR9606,CRY2,21.57,2023-06-06 02:54:56.375630
CryTrans700210,Crypto Deposit,USR9706,CRY1,75.54,2023-04-06 12:35:01.103342
CryTrans700211,Crypto Deposit,USR5552,CRY6,1.78,2023-02-14 03:02:41.010700
CryTrans700212,Crypto Deposit,USR2528,CRY9,56.27,2023-09-05 13:28:53.202511
CryTrans700213,Crypto Withdrawl,USR7699,CRY9,85.71,2024-01-18 18:54:16.142507
CryTrans700214,Crypto Withdrawl,USR3757,CRY5,45.05,2023-09-26 11:14:18.658803
CryTrans700215,Crypto Deposit,USR3510,CRY2,12.14,2024-02-03 13:07:18.016137
CryTrans700216,Crypto Deposit,USR4908,CRY1,70.74,2023-11-25 17:47:34.324128
CryTrans700217,Crypto Deposit,USR4668,CRY6,88.86,2023-10-28 15:38:24.574656
CryTrans700218,Crypto Deposit,USR1024,CRY5,96.52,2023-08-07 01:41:39.655988
CryTrans700219,Crypto Withdrawl,USR3841,CRY4,74.48,2023-08-29 08:55:46.696470
CryTrans700220,Crypto Withdrawl,USR4359,CRY3,40.12,2023-05-25 08:54:21.510360
CryTrans700221,Crypto Withdrawl,USR8017,CRY5,44.43,2023-07-02 14:11:06.619034
CryTrans700222,Crypto Withdrawl,USR8210,CRY2,23.38,2024-01-22 03:37:51.672261
CryTrans700223,Crypto Deposit,USR9241,CRY8,82.19,2023-11-16 03:19:40.465310
CryTrans700224,Crypto Deposit,USR2169,CRY2,4.35,2023-12-15 13:15:48.308348
CryTrans700225,Crypto Deposit,USR9102,CRY3,25.64,2023-02-18 02:04:08.922417
CryTrans700226,Crypto Deposit,USR2761,CRY2,94.53,2023-09-02 10:52:10.530585
CryTrans700227,Crypto Withdrawl,USR4590,CRY4,24.36,2024-01-03 08:04:26.462154
CryTrans700228,Crypto Withdrawl,USR5089,CRY10,92.2,2023-06-13 14:17:00.222001
CryTrans700229,Crypto Withdrawl,USR4620,CRY3,9.8,2023-07-19 14:50:56.604306
CryTrans700230,Crypto Deposit,USR7261,CRY3,5.37,2023-08-14 23:20:21.215520
CryTrans700231,Crypto Deposit,USR3529,CRY8,84.44,2023-08-23 17:28:08.089134
CryTrans700232,Crypto Deposit,USR935,CRY4,96.58,2023-11-08 23:25:10.185722
CryTrans700233,Crypto Withdrawl,USR9832,CRY7,23.55,2023-04-28 14:43:07.310283
CryTrans700234,Crypto Withdrawl,USR5884,CRY5,80.69,2023-07-07 19:12:34.045889
CryTrans700235,Crypto Deposit,USR1258,CRY10,67.51,2023-11-14 02:44:15.921692
CryTrans700236,Crypto Withdrawl,USR9476,CRY4,76.54,2023-02-19 20:11:43.284856
CryTrans700237,Crypto Deposit,USR467,CRY9,69.4,2023-02-12 19:21:45.980582
CryTrans700238,Crypto Deposit,USR5589,CRY10,35.23,2023-10-14 05:12:06.268943
CryTrans700239,Crypto Withdrawl,USR1001,CRY10,62.85,2023-07-13 00:06:35.153956
CryTrans700240,Crypto Withdrawl,USR6734,CRY9,39.02,2023-04-28 15:08:58.721691
CryTrans700241,Crypto Deposit,USR4010,CRY8,44.58,2023-11-19 00:12:17.481968
CryTrans700242,Crypto Withdrawl,USR1309,CRY6,8.4,2023-07-13 11:54:58.663912
CryTrans700243,Crypto Withdrawl,USR4907,CRY8,77.35,2023-02-24 12:41:26.427117
CryTrans700244,Crypto Withdrawl,USR4064,CRY6,9.41,2023-02-11 01:42:26.099193
CryTrans700245,Crypto Deposit,USR5590,CRY10,64.74,2023-05-07 21:29:22.985522
CryTrans700246,Crypto Withdrawl,USR9454,CRY7,40.9,2023-04-17 12:03:15.748487
CryTrans700247,Crypto Withdrawl,USR5335,CRY7,38.77,2023-09-22 10:38:38.014346
