TradeID,UserID,ContractType,CryptocurrencyID,CryptoAmount,FiatID,FiatAmount,Timestamp
FUT1660001,USR9881,Short,CRY4,71.64,CUR29,5231.5,2024-02-03 11:20:00.497789
FUT1660002,USR6363,Long,CRY1,21.16,CUR19,6387.02,2023-04-25 11:08:14.297796
FUT1660003,USR8140,Long,CRY1,57.33,CUR13,6123.74,2023-10-02 01:08:37.431514
FUT1660004,USR1785,Long,CRY5,49.55,CUR6,357.97,2023-10-24 08:22:10.952908
FUT1660005,USR5670,Short,CRY8,78.04,CUR12,9852.63,2023-04-08 10:10:57.597707
FUT1660006,USR9869,Short,CRY1,52.35,CUR29,8273.79,2023-07-26 01:53:36.548783
FUT1660007,USR9216,Short,CRY8,96.59,CUR14,5674.32,2023-05-18 19:56:49.996452
FUT1660008,USR2969,Long,CRY7,55.6,CUR3,7630.24,2023-05-24 15:41:25.876529
FUT1660009,USR2797,Long,CRY7,48.34,CUR8,3016.75,2023-08-31 13:30:42.653579
FUT1660010,USR1437,Short,CRY8,46.96,CUR18,5121.72,2023-11-13 09:39:12.775069
FUT1660011,USR8562,Short,CRY3,68.43,CUR6,3260.72,2023-04-21 09:28:16.308162
FUT1660012,USR1630,Long,CRY4,11.96,CUR29,6177.35,2023-02-14 17:01:26.128607
FUT1660013,USR1061,Long,CRY7,45.9,CUR5,8030.78,2023-02-14 09:56:41.561310
FUT1660014,USR9007,Short,CRY10,20.76,CUR20,7364.7,2023-12-15 03:03:44.592109
FUT1660015,USR7095,Short,CRY9,18.45,CUR22,6473.36,2024-01-25 10:01:18.441141
FUT1660016,USR3540,Long,CRY3,23.04,CUR4,6493.45,2023-10-29 23:32:41.282348
FUT1660017,USR8591,Short,CRY5,17.81,CUR23,8442.46,2023-10-12 04:42:46.181215
FUT1660018,USR6590,Short,CRY5,3.18,CUR9,1669.6,2023-09-03 14:58:31.521814
FUT1660019,USR2900,Short,CRY8,7.64,CUR27,5951.86,2023-07-09 10:05:59.907530
FUT1660020,USR3048,Long,CRY2,1.35,CUR4,7111.77,2023-12-24 01:00:21.349953
FUT1660021,USR1327,Long,CRY9,0.79,CUR4,1574.72,2023-04-17 08:41:10.168744
FUT1660022,USR414,Short,CRY2,9.43,CUR16,2477.42,2023-09-22 03:07:35.753275
FUT1660023,USR8423,Long,CRY9,32.39,CUR2,735.69,2023-09-11 04:57:38.078798
FUT1660024,USR6665,Long,CRY2,2.62,CUR26,6422.67,2023-02-16 09:59:27.964413
FUT1660025,USR7595,Short,CRY7,69.64,CUR26,5120.58,2023-12-23 01:32:49.726303
FUT1660026,USR8894,Long,CRY10,24.42,CUR20,150.46,2024-01-12 20:20:09.208530
FUT1660027,USR4018,Long,CRY5,17.82,CUR7,8312.66,2023-09-08 10:04:33.492541
FUT1660028,USR4572,Short,CRY8,42.68,CUR20,8610.62,2023-10-02 16:36:40.351857
FUT1660029,USR2819,Long,CRY10,32.33,CUR5,6086.39,2023-04-28 00:13:12.528827
FUT1660030,USR3492,Short,CRY10,37.52,CUR23,1531.77,2023-11-14 21:23:26.787755
FUT1660031,USR948,Short,CRY10,67.03,CUR29,3172.33,2023-11-28 10:15:13.369189
FUT1660032,USR4449,Long,CRY2,72.75,CUR7,4070.78,2024-01-27 20:25:26.612075
FUT1660033,USR6261,Long,CRY10,77.88,CUR12,7545.93,2023-09-20 07:26:58.988285
FUT1660034,USR1430,Short,CRY8,13.98,CUR19,5611.95,2023-09-06 07:07:37.929135
FUT1660035,USR9557,Short,CRY6,92.92,CUR10,7468.41,2023-11-27 17:43:51.531386
FUT1660036,USR7818,Long,CRY3,82.4,CUR30,3738.78,2023-11-14 00:51:16.180000
FUT1660037,USR460,Long,CRY4,48.23,CUR18,8750.71,2023-02-12 06:41:20.216511
FUT1660038,USR1597,Short,CRY4,79.03,CUR25,5349.72,2023-05-14 20:40:04.660913
FUT1660039,USR7941,Short,CRY6,69.91,CUR30,6722.0,2024-01-30 10:37:13.879269
FUT1660040,USR5596,Short,CRY2,72.8,CUR9,3740.64,2023-02-21 04:28:12.501503
FUT1660041,USR2196,Long,CRY9,1.23,CUR22,5212.46,2023-02-20 23:09:21.276907
FUT1660042,USR3184,Short,CRY3,65.42,CUR26,2655.59,2023-04-21 19:22:43.643606
FUT1660043,USR1584,Long,CRY8,55.35,CUR28,281.42,2023-07-09 04:15:58.844839
FUT1660044,USR7632,Short,CRY5,25.24,CUR29,6486.84,2024-01-24 09:14:01.875380
