OrderID,OrderType,UserID,CryptocurrencyID,CryptoAmount,FiatAmount,FiatID,Timestamp
SPT1280001,Buy,USR3043,CRY5,85.56,4994.54,CUR28,2023-06-04 07:32:15.533919
SPT1280002,Sell,USR9002,CRY1,35.12,6455.21,CUR18,2023-03-15 11:44:24.636959
SPT1280003,Buy,USR5378,CRY5,62.12,1911.99,CUR4,2023-08-01 12:41:56.150762
SPT1280004,Sell,USR3099,CRY1,94.21,7561.92,CUR17,2023-06-09 14:13:50.980059
SPT1280005,Sell,USR7399,CRY10,80.74,495.43,CUR3,2023-10-15 17:30:18.376709
SPT1280006,Buy,USR8749,CRY10,84.85,8027.25,CUR5,2024-01-12 11:16:41.590765
SPT1280007,Buy,USR4608,CRY2,63.81,8124.02,CUR6,2023-02-21 14:21:02.712107
SPT1280008,Buy,USR5642,CRY5,99.12,4539.46,CUR18,2023-07-03 16:06:18.052209
SPT1280009,Buy,USR1836,CRY10,5.24,1182.3,CUR8,2023-07-30 22:17:49.708897
SPT1280010,Buy,USR7355,CRY4,74.55,8440.41,CUR21,2023-03-24 11:40:29.741263
SPT1280011,Buy,USR7613,CRY5,14.07,741.59,CUR14,2023-08-23 17:15:28.517739
SPT1280012,Sell,USR8440,CRY3,64.63,8208.09,CUR6,2023-06-19 01:21:23.046021
SPT1280013,Sell,USR6579,CRY4,28.22,8213.74,CUR2,2023-05-22 15:59:56.830117
SPT1280014,Buy,USR846,CRY3,56.42,431.83,CUR30,2023-08-10 01:52:19.662133
SPT1280015,Buy,USR4203,CRY9,71.95,1805.55,CUR29,2023-08-21 13:46:25.701214
SPT1280016,Sell,USR4015,CRY3,53.83,2124.94,CUR3,2023-09-01 10:14:38.827827
SPT1280017,Buy,USR2693,CRY8,7.79,9001.47,CUR20,2023-04-25 08:22:09.492613
SPT1280018,Buy,USR8004,CRY8,99.26,3689.84,CUR5,2023-03-24 16:25:07.351683
SPT1280019,Buy,USR3383,CRY4,75.49,2377.1,CUR12,2023-10-26 22:03:58.000415
SPT1280020,Buy,USR4028,CRY10,89.14,1835.5,CUR26,2024-01-04 21:26:09.102054
