OrderID,OrderType,UserID,CryptocurrencyID,CryptoAmount,FiatAmount,FiatID,Timestamp
SPT1480001,Buy,USR8003,CRY10,60.84,452.61,CUR29,2024-01-31 06:49:57.959290
SPT1480002,Sell,USR5013,CRY9,65.94,5083.99,CUR18,2023-10-05 15:25:13.200707
SPT1480003,Buy,USR8414,CRY8,77.37,7062.5,CUR1,2023-05-28 11:07:17.490369
SPT1480004,Sell,USR4271,CRY4,45.22,3902.33,CUR11,2023-04-04 04:12:30.845345
SPT1480005,Sell,USR6454,CRY8,73.83,1920.23,CUR22,2023-04-12 04:04:12.316882
SPT1480006,Buy,USR6285,CRY8,37.18,9123.3,CUR10,2023-09-03 09:51:06.606776
SPT1480007,Sell,USR5543,CRY8,59.91,8842.5,CUR20,2023-03-13 18:44:23.805468
SPT1480008,Sell,USR3730,CRY9,42.45,6056.56,CUR3,2023-03-31 13:39:58.356917
SPT1480009,Sell,USR7736,CRY8,34.6,9838.51,CUR20,2023-04-30 12:14:53.015483
SPT1480010,Sell,USR9297,CRY1,64.98,1894.19,CUR13,2023-05-28 14:39:56.529667
SPT1480011,Sell,USR6431,CRY7,32.89,1372.67,CUR3,2023-06-29 07:53:00.494627
SPT1480012,Sell,USR7035,CRY4,46.87,716.9,CUR13,2024-01-12 09:59:31.853562
SPT1480013,Sell,USR6400,CRY3,69.88,4103.15,CUR5,2024-01-17 13:18:55.813537
SPT1480014,Sell,USR3184,CRY8,30.25,6314.31,CUR28,2023-10-01 14:16:11.649968
SPT1480015,Sell,USR3484,CRY9,51.88,862.57,CUR26,2024-02-09 02:08:02.210453
SPT1480016,Sell,USR8388,CRY1,4.55,4077.56,CUR26,2023-09-02 12:04:27.321037
SPT1480017,Sell,USR9834,CRY8,56.4,2837.42,CUR30,2024-01-08 09:41:52.394706
SPT1480018,Buy,USR1009,CRY2,75.23,918.42,CUR20,2023-09-30 03:26:21.666997
SPT1480019,Buy,USR3716,CRY4,76.25,9795.59,CUR29,2023-02-18 00:49:40.888401
SPT1480020,Sell,USR810,CRY4,58.29,7160.45,CUR11,2023-05-12 00:01:12.605803
SPT1480021,Sell,USR6004,CRY9,94.28,6605.75,CUR2,2023-08-01 03:12:32.601068
SPT1480022,Buy,USR1541,CRY5,93.97,2919.7,CUR2,2023-07-30 19:43:52.617111
SPT1480023,Sell,USR9359,CRY6,5.16,3623.06,CUR16,2023-10-24 16:00:04.170710
SPT1480024,Sell,USR949,CRY6,31.76,3141.03,CUR17,2023-04-12 08:23:21.228709
SPT1480025,Buy,USR3782,CRY4,70.57,4094.37,CUR29,2023-06-19 23:24:42.897469
SPT1480026,Buy,USR7478,CRY7,44.05,1534.55,CUR1,2023-02-20 11:22:54.777931
SPT1480027,Buy,USR1192,CRY3,75.5,9230.54,CUR9,2023-09-13 03:04:49.945674
SPT1480028,Sell,USR6744,CRY9,78.29,398.21,CUR22,2023-12-21 10:01:47.353887
SPT1480029,Buy,USR8394,CRY4,88.12,8709.49,CUR5,2023-03-05 10:20:15.242291
SPT1480030,Sell,USR8485,CRY10,75.05,599.26,CUR14,2023-09-15 15:26:15.875893
SPT1480031,Sell,USR7970,CRY2,30.12,6427.54,CUR21,2023-05-03 19:20:47.890727
SPT1480032,Buy,USR120,CRY5,73.97,8204.94,CUR1,2023-12-07 22:10:10.187887
SPT1480033,Buy,USR3104,CRY4,95.91,6260.68,CUR6,2023-11-15 13:46:20.918182
SPT1480034,Buy,USR5193,CRY7,68.17,2389.28,CUR19,2023-08-05 16:44:39.462344
SPT1480035,Sell,USR7124,CRY6,56.32,3665.63,CUR8,2023-10-25 09:21:54.784764
SPT1480036,Sell,USR157,CRY1,33.16,691.73,CUR19,2023-03-16 09:01:12.083501
SPT1480037,Sell,USR5741,CRY6,15.26,4355.13,CUR12,2023-04-23 02:43:16.361452
SPT1480038,Sell,USR314,CRY5,1.8,5157.54,CUR26,2023-05-19 01:08:43.601869
SPT1480039,Buy,USR4922,CRY1,3.03,2410.64,CUR21,2023-07-06 11:37:18.946498
SPT1480040,Buy,USR7876,CRY10,39.9,8298.63,CUR27,2023-07-25 22:02:39.149828
SPT1480041,Sell,USR4573,CRY3,18.05,2229.61,CUR1,2023-02-12 18:35:25.579633
SPT1480042,Buy,USR8645,CRY7,82.88,4990.18,CUR8,2023-09-16 11:50:49.928274
SPT1480043,Sell,USR2758,CRY4,45.86,3598.05,CUR5,2023-06-15 19:49:17.084526
SPT1480044,Sell,USR4609,CRY4,87.55,533.51,CUR26,2023-02-12 22:06:38.270146
SPT1480045,Buy,USR999,CRY2,23.79,5961.23,CUR27,2023-07-08 14:57:16.638386
SPT1480046,Sell,USR8326,CRY7,73.55,5464.82,CUR18,2023-07-10 21:16:41.694927
SPT1480047,Buy,USR4850,CRY6,35.1,9597.3,CUR11,2024-01-13 11:20:00.561500
SPT1480048,Buy,USR9477,CRY6,88.42,635.96,CUR28,2023-10-25 05:52:02.798560
SPT1480049,Buy,USR2496,CRY1,89.87,5536.94,CUR21,2024-02-03 03:08:33.057680
SPT1480050,Buy,USR1605,CRY8,86.63,8149.16,CUR23,2023-05-27 16:10:28.602071
SPT1480051,Buy,USR4653,CRY5,1.45,4818.98,CUR8,2023-04-15 02:21:39.531090
SPT1480052,Buy,USR1217,CRY7,41.68,9872.46,CUR3,2023-12-31 18:55:35.719192
SPT1480053,Sell,USR5381,CRY5,40.03,5995.93,CUR25,2023-05-25 05:40:21.933580
SPT1480054,Buy,USR6809,CRY3,49.59,6232.87,CUR22,2023-12-26 02:36:29.721327
SPT1480055,Sell,USR5450,CRY10,18.28,3022.05,CUR12,2023-02-13 13:13:50.604475
SPT1480056,Sell,USR2436,CRY10,31.5,3156.6,CUR4,2023-09-04 10:05:25.395665
SPT1480057,Sell,USR3984,CRY2,14.85,959.05,CUR10,2023-12-10 22:05:17.985135
SPT1480058,Buy,USR5167,CRY8,4.8,8324.21,CUR25,2024-01-16 11:08:48.173817
SPT1480059,Sell,USR8931,CRY5,42.14,3497.24,CUR23,2023-07-28 23:53:33.655610
SPT1480060,Buy,USR8483,CRY5,86.4,4910.08,CUR29,2023-08-06 09:55:21.842643
SPT1480061,Buy,USR4202,CRY4,25.29,8995.22,CUR11,2023-12-23 21:12:15.553211
SPT1480062,Buy,USR2690,CRY2,80.93,6507.57,CUR30,2023-02-21 07:07:18.550918
SPT1480063,Sell,USR3192,CRY1,13.35,4504.28,CUR4,2023-07-27 14:10:26.531132
SPT1480064,Sell,USR5405,CRY10,80.19,8318.6,CUR17,2023-07-29 18:50:10.989634
SPT1480065,Buy,USR6831,CRY9,52.98,4585.15,CUR24,2023-08-14 08:08:54.011900
SPT1480066,Buy,USR9475,CRY1,38.42,9877.7,CUR18,2023-10-01 06:37:23.208924
SPT1480067,Sell,USR8664,CRY8,63.03,6472.29,CUR3,2023-09-02 19:28:32.044765
SPT1480068,Sell,USR6451,CRY2,63.09,6301.64,CUR30,2023-04-10 02:05:01.970500
SPT1480069,Sell,USR2378,CRY1,59.52,7081.79,CUR15,2024-02-04 23:25:29.975535
SPT1480070,Sell,USR6077,CRY2,63.0,5763.44,CUR16,2024-02-07 23:57:25.809969
SPT1480071,Sell,USR6954,CRY1,45.34,6892.91,CUR6,2023-11-02 17:10:53.749168
SPT1480072,Sell,USR526,CRY6,96.99,873.85,CUR20,2023-11-14 07:08:07.580769
SPT1480073,Sell,USR8647,CRY8,32.79,6968.27,CUR20,2023-05-06 23:01:49.114238
SPT1480074,Buy,USR8919,CRY1,78.63,1815.15,CUR27,2023-03-04 18:14:50.338775
SPT1480075,Sell,USR2417,CRY10,15.75,4618.93,CUR23,2023-08-20 08:04:42.295559
SPT1480076,Buy,USR44,CRY5,38.44,9113.92,CUR18,2023-09-02 07:32:15.367397
SPT1480077,Buy,USR1224,CRY2,77.21,8351.08,CUR6,2023-08-23 14:30:27.463981
SPT1480078,Buy,USR1389,CRY6,0.34,5556.81,CUR24,2023-12-05 00:59:47.337838
SPT1480079,Buy,USR9902,CRY7,28.49,1784.22,CUR10,2023-02-14 01:46:21.759661
SPT1480080,Buy,USR2854,CRY1,96.25,6999.67,CUR17,2023-07-26 19:19:55.907189
SPT1480081,Sell,USR293,CRY4,55.33,4096.71,CUR1,2023-05-24 19:19:25.051256
SPT1480082,Sell,USR7851,CRY7,50.91,8391.88,CUR7,2023-08-09 08:11:31.514920
SPT1480083,Sell,USR3458,CRY1,90.63,1487.95,CUR22,2023-11-15 15:56:11.320878
SPT1480084,Buy,USR8378,CRY9,48.5,539.57,CUR3,2023-04-14 07:26:20.665954
SPT1480085,Buy,USR2463,CRY2,68.37,7127.11,CUR24,2023-06-17 14:02:18.107301
SPT1480086,Sell,USR2030,CRY5,19.86,4206.92,CUR30,2023-08-24 17:25:07.077536
SPT1480087,Sell,USR7618,CRY4,15.23,5388.65,CUR8,2023-07-17 05:17:31.088229
SPT1480088,Sell,USR907,CRY3,53.41,3308.88,CUR11,2023-05-05 01:37:04.735232
SPT1480089,Sell,USR3790,CRY5,30.42,6996.82,CUR8,2023-07-12 04:46:39.947373
SPT1480090,Sell,USR5235,CRY8,46.64,3506.8,CUR22,2023-04-25 00:59:23.043761
SPT1480091,Sell,USR6300,CRY10,38.68,9221.3,CUR24,2023-10-14 13:47:10.919934
SPT1480092,Buy,USR5172,CRY8,55.25,6136.63,CUR24,2024-02-02 23:55:19.068894
SPT1480093,Sell,USR1911,CRY6,64.77,512.61,CUR4,2024-01-25 07:31:45.308740
SPT1480094,Sell,USR3890,CRY5,24.33,412.07,CUR28,2023-04-20 05:34:00.077795
SPT1480095,Sell,USR2343,CRY9,17.4,7177.55,CUR3,2023-02-16 04:44:42.049351
SPT1480096,Buy,USR1066,CRY3,0.28,4583.05,CUR24,2023-04-23 13:26:06.663959
SPT1480097,Buy,USR1104,CRY9,57.74,7001.17,CUR9,2023-05-10 17:33:24.936394
SPT1480098,Buy,USR8660,CRY4,16.31,932.5,CUR1,2023-07-14 09:26:31.086845
SPT1480099,Buy,USR5621,CRY6,95.02,6920.45,CUR30,2023-09-22 07:56:44.914020
SPT1480100,Buy,USR9886,CRY7,29.65,5295.08,CUR2,2023-11-27 19:15:35.671295
SPT1480101,Buy,USR6324,CRY5,62.87,4976.59,CUR24,2023-04-25 01:17:49.520426
SPT1480102,Sell,USR6724,CRY6,0.41,9075.9,CUR12,2023-08-20 06:26:17.892354
SPT1480103,Sell,USR8498,CRY1,65.96,4852.07,CUR1,2023-04-18 05:56:03.123762
SPT1480104,Sell,USR4034,CRY10,15.42,1342.25,CUR24,2023-08-30 14:54:38.013920
SPT1480105,Buy,USR4799,CRY6,41.06,4987.83,CUR19,2023-10-20 23:35:31.787409
SPT1480106,Sell,USR402,CRY8,64.23,7131.1,CUR22,2023-10-03 00:23:06.453863
SPT1480107,Sell,USR6478,CRY5,41.32,3538.12,CUR11,2023-04-20 19:12:20.894984
SPT1480108,Sell,USR1406,CRY6,12.4,9718.95,CUR26,2023-06-13 13:28:05.135706
SPT1480109,Sell,USR4739,CRY9,4.42,8162.96,CUR24,2023-10-26 22:55:42.514035
SPT1480110,Sell,USR5495,CRY10,94.99,619.42,CUR21,2023-12-21 22:30:03.652313
SPT1480111,Sell,USR9049,CRY2,54.05,9147.95,CUR1,2023-11-22 20:26:51.372888
SPT1480112,Sell,USR3354,CRY6,33.93,3148.34,CUR30,2023-02-13 19:05:04.895945
SPT1480113,Sell,USR4935,CRY5,15.13,754.48,CUR3,2023-04-03 20:10:53.647986
SPT1480114,Sell,USR5479,CRY10,90.66,4222.04,CUR23,2024-01-23 16:02:18.445217
SPT1480115,Sell,USR5550,CRY8,43.14,9999.71,CUR16,2023-11-28 23:25:31.307962
SPT1480116,Buy,USR6790,CRY9,17.09,2435.92,CUR20,2023-12-30 13:47:59.134904
SPT1480117,Sell,USR3506,CRY4,10.43,3924.99,CUR20,2023-06-10 06:34:39.983348
SPT1480118,Buy,USR4375,CRY10,93.78,1527.8,CUR22,2023-09-29 14:44:41.647188
SPT1480119,Buy,USR3206,CRY1,11.21,834.05,CUR1,2023-07-19 23:58:12.755395
SPT1480120,Buy,USR5368,CRY5,20.5,7398.89,CUR16,2023-03-29 02:19:46.447654
SPT1480121,Sell,USR6921,CRY10,87.56,977.02,CUR11,2023-08-08 10:19:32.233034
SPT1480122,Buy,USR6814,CRY9,40.6,6256.05,CUR12,2023-10-31 15:41:19.066802
SPT1480123,Sell,USR4567,CRY5,98.49,1102.92,CUR8,2023-09-17 16:48:22.196966
SPT1480124,Buy,USR3032,CRY3,64.81,1145.43,CUR16,2023-09-24 07:19:06.475000
SPT1480125,Buy,USR541,CRY10,73.73,2256.31,CUR11,2023-07-22 23:05:45.104240
SPT1480126,Buy,USR7166,CRY3,37.9,3183.99,CUR24,2023-03-05 09:27:09.488330
SPT1480127,Sell,USR2841,CRY7,28.73,9668.14,CUR27,2023-05-23 03:38:06.602876
SPT1480128,Sell,USR6645,CRY9,30.23,7075.94,CUR23,2023-03-07 01:49:43.373973
SPT1480129,Buy,USR1177,CRY8,14.65,6544.74,CUR15,2023-02-25 17:32:36.265554
SPT1480130,Sell,USR4244,CRY1,95.89,9321.2,CUR28,2023-10-17 09:04:10.030139
SPT1480131,Buy,USR9309,CRY5,54.74,9237.27,CUR2,2023-10-01 23:25:55.958862
SPT1480132,Sell,USR9697,CRY10,58.86,4622.3,CUR29,2023-09-01 15:07:28.713916
SPT1480133,Sell,USR9687,CRY9,1.0,1062.51,CUR3,2024-02-02 08:15:30.620315
SPT1480134,Sell,USR9141,CRY5,32.64,444.79,CUR11,2024-02-05 12:17:19.188787
SPT1480135,Sell,USR8618,CRY7,91.24,4073.69,CUR15,2023-06-23 03:23:48.798248
SPT1480136,Sell,USR7136,CRY1,89.67,4889.57,CUR4,2023-05-21 20:21:09.470429
SPT1480137,Buy,USR4639,CRY10,98.68,8107.84,CUR14,2023-09-03 08:50:16.592694
SPT1480138,Buy,USR2205,CRY3,67.99,6254.62,CUR26,2023-04-23 08:57:58.375870
SPT1480139,Buy,USR8806,CRY6,89.52,6692.17,CUR16,2024-02-09 00:41:51.918747
SPT1480140,Buy,USR4561,CRY8,54.09,454.28,CUR1,2023-12-10 02:42:30.615187
SPT1480141,Buy,USR1409,CRY5,56.32,9083.57,CUR2,2023-10-13 15:54:56.857312
SPT1480142,Sell,USR3137,CRY5,23.61,8087.27,CUR18,2023-04-22 07:16:36.476865
SPT1480143,Buy,USR664,CRY7,67.17,1940.03,CUR16,2023-06-15 08:40:20.408581
SPT1480144,Sell,USR4912,CRY6,13.18,6246.73,CUR14,2023-02-25 16:36:29.141378
SPT1480145,Sell,USR6130,CRY3,36.11,8496.78,CUR1,2023-06-09 04:56:00.765848
SPT1480146,Sell,USR300,CRY7,55.65,2088.09,CUR16,2023-10-18 23:15:33.934319
SPT1480147,Sell,USR3512,CRY4,80.23,4732.15,CUR20,2023-07-31 00:11:20.278023
SPT1480148,Sell,USR7087,CRY6,79.83,2013.48,CUR13,2024-01-21 04:35:51.910429
SPT1480149,Buy,USR535,CRY6,2.96,5755.53,CUR7,2023-06-03 08:15:56.692760
SPT1480150,Buy,USR1659,CRY5,67.36,6666.46,CUR14,2023-11-25 14:37:19.589714
SPT1480151,Sell,USR7029,CRY9,48.66,136.56,CUR10,2023-08-30 20:22:37.686279
SPT1480152,Sell,USR6803,CRY9,64.1,2046.15,CUR15,2024-01-27 18:56:24.109333
SPT1480153,Sell,USR7471,CRY2,86.19,4548.77,CUR6,2023-12-17 08:33:56.519219
SPT1480154,Sell,USR6469,CRY10,72.22,1880.12,CUR5,2023-03-16 11:18:23.919254
SPT1480155,Sell,USR1933,CRY10,24.65,9155.45,CUR15,2023-09-04 22:18:30.856859
SPT1480156,Sell,USR6967,CRY10,38.51,7056.65,CUR14,2023-05-08 00:38:59.727799
SPT1480157,Sell,USR6432,CRY4,44.72,6111.78,CUR10,2023-12-17 09:19:36.681432
SPT1480158,Sell,USR4300,CRY1,40.15,6485.85,CUR28,2023-04-04 01:58:26.432086
SPT1480159,Buy,USR4077,CRY8,55.15,4334.98,CUR19,2023-10-26 07:34:36.239702
SPT1480160,Sell,USR4042,CRY4,14.91,4946.96,CUR22,2023-09-29 04:22:31.062766
SPT1480161,Buy,USR5027,CRY10,5.52,3377.95,CUR19,2023-03-05 22:58:32.151340
SPT1480162,Buy,USR6157,CRY10,27.32,6984.26,CUR19,2023-09-20 13:45:51.695762
SPT1480163,Sell,USR3599,CRY5,75.93,5681.14,CUR2,2023-12-29 05:47:53.473536
SPT1480164,Buy,USR5760,CRY9,50.42,8450.6,CUR2,2023-03-16 14:24:15.261883
SPT1480165,Buy,USR4480,CRY1,53.14,6157.7,CUR27,2023-12-05 08:31:09.315411
SPT1480166,Buy,USR8134,CRY4,37.95,4542.26,CUR1,2023-10-07 21:13:54.899752
SPT1480167,Sell,USR6157,CRY6,75.88,6721.81,CUR30,2023-12-29 18:30:52.096100
SPT1480168,Sell,USR9698,CRY10,44.86,3959.91,CUR30,2023-03-29 17:38:36.699522
SPT1480169,Buy,USR3280,CRY8,51.36,4624.41,CUR29,2023-06-16 23:50:41.539881
SPT1480170,Sell,USR326,CRY3,65.98,7884.29,CUR29,2023-03-28 14:41:12.286392
SPT1480171,Buy,USR3491,CRY10,88.52,7244.98,CUR16,2023-03-21 09:27:41.045536
SPT1480172,Sell,USR1865,CRY7,13.19,6378.19,CUR15,2023-02-24 04:07:18.997172
SPT1480173,Buy,USR6644,CRY4,21.94,6780.1,CUR28,2023-07-12 14:28:19.499321
SPT1480174,Buy,USR35,CRY8,10.68,9282.58,CUR12,2023-11-04 23:06:04.667681
SPT1480175,Buy,USR1116,CRY9,39.85,8191.71,CUR1,2023-04-29 15:01:49.967658
SPT1480176,Buy,USR4163,CRY1,53.82,5621.52,CUR6,2023-07-19 17:28:23.999813
SPT1480177,Buy,USR6405,CRY6,87.58,7759.83,CUR17,2024-02-04 17:13:43.200166
SPT1480178,Sell,USR5009,CRY7,72.23,2991.17,CUR18,2023-06-05 01:39:50.276692
SPT1480179,Buy,USR1274,CRY1,66.99,1344.93,CUR16,2023-11-09 02:53:32.256570
SPT1480180,Buy,USR8301,CRY5,95.05,8923.34,CUR26,2023-08-21 03:23:28.130218
SPT1480181,Sell,USR1613,CRY5,8.84,6927.88,CUR13,2023-06-13 21:28:07.462765
SPT1480182,Buy,USR8928,CRY1,70.92,9049.45,CUR30,2023-05-09 23:21:20.869053
SPT1480183,Buy,USR3423,CRY5,31.05,100.67,CUR11,2023-10-15 12:11:31.614754
SPT1480184,Sell,USR3410,CRY7,49.59,5847.22,CUR5,2023-05-11 13:22:01.788296
SPT1480185,Sell,USR3437,CRY8,16.14,7491.78,CUR18,2023-08-14 22:47:06.328833
SPT1480186,Sell,USR5003,CRY8,4.03,9571.3,CUR19,2023-03-07 02:23:59.831045
SPT1480187,Buy,USR9915,CRY7,33.21,8448.23,CUR12,2023-05-30 23:48:04.137151
SPT1480188,Buy,USR4655,CRY1,14.36,7510.74,CUR7,2023-05-27 08:57:44.177777
SPT1480189,Buy,USR8497,CRY7,96.02,829.49,CUR14,2024-01-14 10:51:41.240135
SPT1480190,Buy,USR6978,CRY8,3.65,6240.12,CUR10,2023-10-31 19:07:12.659279
SPT1480191,Buy,USR6744,CRY4,55.88,557.81,CUR29,2023-05-25 21:06:48.949287
SPT1480192,Buy,USR1578,CRY7,9.69,8118.23,CUR15,2023-03-18 11:55:43.121805
SPT1480193,Sell,USR6106,CRY10,5.56,9488.23,CUR3,2023-02-28 12:05:03.210542
SPT1480194,Sell,USR2858,CRY4,27.82,3651.1,CUR30,2023-07-02 08:57:38.728755
SPT1480195,Buy,USR5335,CRY9,31.17,6751.35,CUR2,2023-10-11 21:25:17.947277
SPT1480196,Sell,USR4075,CRY4,5.77,7747.07,CUR22,2023-07-09 13:41:39.236706
SPT1480197,Buy,USR1039,CRY9,27.53,8930.27,CUR21,2023-11-06 06:59:12.286075
SPT1480198,Sell,USR6644,CRY6,57.19,1493.71,CUR6,2023-06-15 05:01:10.068104
SPT1480199,Sell,USR7124,CRY9,79.69,9674.1,CUR2,2024-01-07 15:49:45.708964
SPT1480200,Sell,USR2029,CRY7,11.96,5781.77,CUR4,2023-10-01 23:09:44.641530
SPT1480201,Buy,USR4015,CRY4,39.41,4091.65,CUR6,2023-05-31 12:00:25.892429
SPT1480202,Sell,USR5147,CRY9,50.7,5797.92,CUR18,2023-10-28 15:11:29.026780
SPT1480203,Sell,USR581,CRY6,22.62,9341.92,CUR26,2024-02-05 14:30:50.766158
SPT1480204,Buy,USR2974,CRY5,30.37,2231.38,CUR15,2023-09-23 06:19:52.718094
