OrderID,OrderType,UserID,CryptocurrencyID,CryptoAmount,FiatAmount,FiatID,Timestamp
SPT300001,Buy,USR8877,CRY9,17.17,9699.64,CUR9,2023-07-19 04:03:56.832577
SPT300002,Buy,USR5080,CRY6,31.94,1147.47,CUR21,2024-01-21 15:59:47.400686
SPT300003,Buy,USR7082,CRY9,90.41,2489.02,CUR13,2023-11-13 09:52:43.573993
SPT300004,Buy,USR6804,CRY1,29.08,3794.15,CUR30,2023-07-02 07:46:56.864546
SPT300005,Sell,USR898,CRY6,86.51,1693.9,CUR21,2023-09-08 09:04:50.958205
SPT300006,Buy,USR2596,CRY3,88.6,393.97,CUR5,2023-03-05 01:10:39.692522
SPT300007,Sell,USR1000,CRY4,79.16,4822.77,CUR13,2023-02-26 22:27:40.572625
SPT300008,Sell,USR6730,CRY2,77.81,8582.07,CUR21,2023-04-19 01:04:26.256404
SPT300009,Buy,USR535,CRY2,29.11,4034.68,CUR11,2023-06-15 13:36:57.018689
SPT300010,Sell,USR4086,CRY5,53.97,8573.46,CUR6,2023-02-22 21:17:15.375789
SPT300011,Sell,USR3954,CRY1,55.56,391.99,CUR16,2023-08-16 14:25:08.524173
SPT300012,Buy,USR9988,CRY5,31.82,155.83,CUR6,2023-08-23 17:14:38.056068
SPT300013,Sell,USR3225,CRY6,45.21,6333.67,CUR13,2023-07-12 17:07:05.295758
SPT300014,Buy,USR9401,CRY6,84.95,3788.79,CUR15,2023-09-23 10:27:41.094225
SPT300015,Buy,USR9063,CRY9,69.16,2224.77,CUR24,2024-01-27 23:05:38.396765
SPT300016,Buy,USR1168,CRY1,42.48,5114.12,CUR26,2023-02-14 23:30:10.959019
SPT300017,Sell,USR1256,CRY7,44.48,4191.39,CUR7,2023-07-19 01:41:11.742900
SPT300018,Sell,USR1159,CRY8,11.97,3492.12,CUR16,2023-08-21 19:02:41.286023
SPT300019,Sell,USR4586,CRY10,48.67,8209.23,CUR28,2023-03-21 02:48:00.724948
SPT300020,Buy,USR8594,CRY9,46.14,2073.25,CUR9,2023-11-06 04:07:10.584186
SPT300021,Sell,USR5033,CRY3,7.42,5650.04,CUR19,2024-01-04 18:04:35.884807
SPT300022,Buy,USR8655,CRY10,63.99,7729.66,CUR16,2023-03-20 17:46:22.576988
SPT300023,Buy,USR9646,CRY3,87.93,7379.87,CUR26,2023-09-20 14:10:06.142158
SPT300024,Sell,USR8374,CRY5,82.38,3583.94,CUR28,2023-09-26 14:31:43.956602
SPT300025,Buy,USR3263,CRY10,23.43,7254.75,CUR7,2023-04-12 09:39:18.585792
SPT300026,Buy,USR1426,CRY5,35.5,6442.03,CUR21,2023-10-04 18:31:47.823398
SPT300027,Sell,USR4386,CRY2,58.57,1949.1,CUR12,2023-03-26 06:09:19.314009
SPT300028,Buy,USR9775,CRY7,22.86,1484.64,CUR27,2023-09-29 00:35:04.903285
SPT300029,Buy,USR7095,CRY4,69.0,9954.1,CUR2,2023-11-22 05:10:38.394890
SPT300030,Sell,USR1093,CRY4,39.95,7975.07,CUR4,2023-07-14 10:39:42.446275
SPT300031,Buy,USR4620,CRY10,50.52,800.72,CUR11,2023-11-29 12:09:15.184252
SPT300032,Buy,USR4150,CRY2,0.82,5913.79,CUR15,2023-05-07 02:33:10.516720
SPT300033,Sell,USR7243,CRY4,91.04,6260.76,CUR13,2023-03-13 08:29:39.728192
SPT300034,Sell,USR6795,CRY7,46.62,5905.5,CUR21,2023-04-26 15:58:08.647728
SPT300035,Sell,USR596,CRY7,15.73,7412.49,CUR1,2023-02-12 10:52:21.428269
SPT300036,Sell,USR8462,CRY8,1.51,1323.17,CUR19,2023-06-06 23:17:16.258346
SPT300037,Sell,USR8181,CRY4,74.66,8880.28,CUR24,2023-12-08 03:33:14.575427
