OrderID,OrderType,SellerUserID,BuyerUserID,CryptocurrencyID,CryptoAmount,FiatAmount,FiatID,Timestamp
OTC1600001,Sell,USR4666,USR4222,CRY3,44.01,6206.65,CUR11,2023-10-07 03:24:38.130790
OTC1600002,Sell,USR6308,USR272,CRY2,42.16,7758.92,CUR7,2023-09-08 15:36:59.576547
OTC1600003,Buy,USR6984,USR4278,CRY3,74.71,8991.74,CUR12,2024-01-14 18:00:16.093154
OTC1600004,Buy,USR3238,USR5824,CRY5,45.67,3757.74,CUR20,2023-07-25 14:17:41.885701
OTC1600005,Sell,USR1086,USR6681,CRY3,71.05,7551.71,CUR5,2023-06-13 00:02:15.087818
OTC1600006,Sell,USR6212,USR4706,CRY8,40.26,1021.72,CUR1,2023-11-30 22:10:27.210473
OTC1600007,Buy,USR5027,USR208,CRY3,48.59,5802.03,CUR6,2023-12-28 01:42:52.555854
OTC1600008,Buy,USR5149,USR3976,CRY6,39.01,9998.0,CUR29,2024-01-25 03:58:10.939283
OTC1600009,Sell,USR8884,USR75,CRY7,93.08,817.09,CUR9,2023-11-08 15:47:39.037681
OTC1600010,Sell,USR459,USR593,CRY7,11.34,9219.95,CUR20,2023-12-27 14:08:20.685892
OTC1600011,Buy,USR1146,USR426,CRY6,79.69,4106.79,CUR16,2023-10-07 12:53:12.359798
OTC1600012,Sell,USR44,USR5059,CRY6,3.4,4038.56,CUR6,2023-09-28 04:07:52.324492
OTC1600013,Buy,USR5263,USR9888,CRY10,67.66,8729.43,CUR3,2023-04-04 16:05:20.321751
OTC1600014,Sell,USR4739,USR4366,CRY9,41.39,3957.82,CUR29,2023-09-16 20:02:32.243997
OTC1600015,Buy,USR382,USR8293,CRY6,37.1,6805.74,CUR7,2023-06-29 10:02:59.033859
OTC1600016,Sell,USR5296,USR7284,CRY6,16.02,2342.68,CUR25,2023-07-27 00:10:43.446941
OTC1600017,Sell,USR2497,USR5584,CRY5,35.22,5426.27,CUR22,2023-10-21 17:26:36.317487
OTC1600018,Buy,USR3430,USR5791,CRY9,89.65,5114.74,CUR9,2023-09-09 19:37:09.584145
OTC1600019,Sell,USR3016,USR579,CRY4,98.27,6249.68,CUR13,2023-09-09 06:03:10.785885
OTC1600020,Buy,USR7259,USR6908,CRY1,4.42,8277.76,CUR25,2023-06-04 07:31:31.193372
OTC1600021,Buy,USR4802,USR9880,CRY1,55.14,6676.87,CUR18,2023-05-02 21:43:09.225679
OTC1600022,Buy,USR8504,USR9174,CRY9,57.95,2971.53,CUR10,2023-04-15 01:24:58.300961
OTC1600023,Buy,USR1538,USR2104,CRY2,54.26,4750.52,CUR26,2023-07-20 15:33:30.050165
OTC1600024,Buy,USR3235,USR754,CRY2,75.83,8767.86,CUR4,2023-04-23 21:14:55.386024
OTC1600025,Sell,USR3109,USR6617,CRY4,75.67,9108.65,CUR19,2023-09-12 15:25:04.208333
OTC1600026,Sell,USR9184,USR7224,CRY6,7.09,3386.65,CUR12,2024-01-13 03:39:14.353990
OTC1600027,Sell,USR6405,USR6292,CRY5,24.98,7018.04,CUR9,2023-05-17 06:02:01.452653
OTC1600028,Buy,USR7244,USR1616,CRY6,85.76,380.24,CUR30,2023-10-24 00:49:17.154659
OTC1600029,Buy,USR8584,USR9952,CRY2,83.06,2904.79,CUR24,2024-01-18 13:26:34.974421
OTC1600030,Buy,USR6955,USR1445,CRY6,17.98,9191.61,CUR8,2023-12-02 22:02:49.774772
OTC1600031,Buy,USR5458,USR9739,CRY4,27.63,3537.95,CUR12,2023-11-24 22:40:10.846353
OTC1600032,Sell,USR47,USR6158,CRY9,20.76,2438.26,CUR21,2023-09-29 18:44:21.222091
OTC1600033,Buy,USR5735,USR2113,CRY2,65.88,9769.06,CUR6,2023-03-11 15:31:30.548715
OTC1600034,Sell,USR6788,USR2350,CRY3,0.79,1253.08,CUR25,2023-07-31 22:48:21.758448
OTC1600035,Buy,USR5983,USR2472,CRY7,65.02,8091.18,CUR2,2024-01-13 16:58:39.105335
OTC1600036,Sell,USR390,USR6432,CRY8,28.28,5400.46,CUR19,2023-11-17 09:15:03.672245
OTC1600037,Buy,USR1024,USR6023,CRY8,35.97,5009.69,CUR10,2023-05-01 02:50:48.873811
OTC1600038,Buy,USR4109,USR7516,CRY3,29.65,9657.85,CUR6,2023-05-17 16:28:39.232924
OTC1600039,Sell,USR2180,USR3820,CRY10,97.63,562.83,CUR26,2023-04-04 13:24:24.035194
OTC1600040,Buy,USR3640,USR3214,CRY9,91.45,5161.6,CUR16,2023-06-04 18:53:49.491740
OTC1600041,Sell,USR988,USR5274,CRY9,28.22,8928.38,CUR20,2023-11-18 15:39:33.889698
OTC1600042,Sell,USR2287,USR2878,CRY3,79.05,5563.21,CUR26,2023-06-19 13:49:09.079917
OTC1600043,Sell,USR7622,USR1468,CRY2,70.32,8851.56,CUR20,2023-07-02 11:44:10.896510
OTC1600044,Buy,USR5507,USR3136,CRY4,89.08,7515.62,CUR5,2023-08-04 22:29:15.921875
OTC1600045,Buy,USR7455,USR2011,CRY6,54.73,3656.23,CUR10,2023-02-13 23:45:53.014432
OTC1600046,Buy,USR345,USR3281,CRY4,42.03,1957.8,CUR1,2023-04-13 12:38:08.568418
OTC1600047,Sell,USR6686,USR9788,CRY7,71.56,9772.41,CUR16,2023-04-15 21:38:00.562787
OTC1600048,Sell,USR6891,USR2103,CRY6,89.89,4136.1,CUR5,2023-11-05 18:09:51.067079
OTC1600049,Sell,USR1013,USR3122,CRY7,68.01,5515.85,CUR5,2024-01-17 17:47:58.990464
OTC1600050,Buy,USR6255,USR7606,CRY5,31.64,2314.64,CUR19,2023-02-19 18:11:57.645468
OTC1600051,Sell,USR6858,USR6879,CRY7,22.49,225.45,CUR22,2023-12-12 11:32:30.739863
OTC1600052,Sell,USR6070,USR8605,CRY10,37.55,5073.05,CUR20,2023-09-07 12:41:57.098092
OTC1600053,Buy,USR2849,USR9327,CRY8,45.68,9437.64,CUR2,2023-04-21 21:01:56.853673
OTC1600054,Buy,USR5678,USR9401,CRY5,32.4,6667.27,CUR18,2023-08-16 16:02:23.333532
OTC1600055,Sell,USR3859,USR4710,CRY2,19.94,2259.09,CUR4,2023-12-17 12:10:09.583165
OTC1600056,Buy,USR8909,USR1475,CRY5,4.06,5414.02,CUR17,2023-09-02 05:15:54.718933
OTC1600057,Sell,USR7818,USR5450,CRY1,15.26,9277.32,CUR16,2024-01-09 13:33:21.505310
OTC1600058,Buy,USR1576,USR5585,CRY8,98.89,4181.85,CUR11,2023-08-28 07:30:31.781054
OTC1600059,Buy,USR9943,USR6039,CRY3,3.38,1372.67,CUR23,2023-02-20 14:14:42.625799
OTC1600060,Sell,USR5102,USR4576,CRY3,71.42,8188.01,CUR21,2023-07-06 11:27:25.539789
OTC1600061,Sell,USR2876,USR4438,CRY1,7.25,1031.61,CUR8,2023-09-01 12:30:28.133782
OTC1600062,Sell,USR418,USR2263,CRY5,84.51,251.3,CUR12,2023-09-16 10:16:57.782810
OTC1600063,Sell,USR2772,USR5385,CRY2,74.46,7962.65,CUR22,2023-05-18 15:20:44.078628
OTC1600064,Sell,USR2654,USR9706,CRY9,73.79,7579.74,CUR28,2023-09-20 17:39:22.982594
OTC1600065,Buy,USR2389,USR5779,CRY4,21.1,3357.29,CUR4,2023-05-27 01:50:38.148739
OTC1600066,Buy,USR1704,USR1152,CRY2,11.69,9567.37,CUR20,2023-04-06 04:12:38.160751
OTC1600067,Sell,USR5107,USR9944,CRY3,97.56,7424.28,CUR12,2023-11-23 23:17:51.892249
OTC1600068,Sell,USR5116,USR8966,CRY2,40.57,8677.56,CUR10,2024-01-25 15:15:56.935337
OTC1600069,Sell,USR6072,USR9731,CRY4,43.69,9574.41,CUR30,2024-01-31 19:02:18.445258
OTC1600070,Sell,USR2572,USR5643,CRY2,55.45,4013.57,CUR1,2023-11-06 03:30:49.980958
OTC1600071,Sell,USR2568,USR6123,CRY8,39.19,3957.55,CUR29,2023-12-21 23:20:11.893844
OTC1600072,Buy,USR2890,USR5364,CRY5,31.07,8664.48,CUR5,2023-06-13 04:19:36.016921
OTC1600073,Sell,USR289,USR7129,CRY10,48.96,7349.78,CUR7,2023-07-08 05:12:33.819823
OTC1600074,Sell,USR6416,USR1547,CRY10,87.6,112.19,CUR27,2023-05-31 15:41:56.736160
OTC1600075,Sell,USR4747,USR7043,CRY8,77.61,8439.07,CUR29,2023-09-29 08:10:50.670237
OTC1600076,Buy,USR6241,USR8693,CRY5,40.51,5009.11,CUR19,2023-07-29 22:17:07.760892
OTC1600077,Buy,USR3839,USR4217,CRY7,70.11,7084.26,CUR28,2023-10-07 05:09:44.725327
OTC1600078,Sell,USR1983,USR1934,CRY3,30.69,4922.62,CUR26,2023-11-22 16:25:26.024947
OTC1600079,Sell,USR4278,USR8603,CRY6,57.81,9860.62,CUR13,2023-08-13 00:10:11.342187
OTC1600080,Sell,USR5410,USR9431,CRY9,90.78,4591.38,CUR22,2023-03-04 22:09:44.305889
OTC1600081,Sell,USR8172,USR8553,CRY3,62.96,3332.27,CUR28,2023-03-30 17:27:38.043216
OTC1600082,Buy,USR6201,USR7622,CRY7,71.6,3406.28,CUR23,2023-03-27 06:09:02.585091
OTC1600083,Buy,USR326,USR4764,CRY6,68.5,8460.75,CUR4,2023-06-12 12:13:28.007625
OTC1600084,Buy,USR4166,USR3038,CRY8,60.85,8446.63,CUR28,2023-09-17 03:21:02.972868
OTC1600085,Sell,USR1186,USR2244,CRY7,38.44,1885.75,CUR3,2023-06-30 00:13:59.409213
OTC1600086,Sell,USR9772,USR8607,CRY6,36.19,6782.82,CUR29,2023-09-21 09:24:51.283299
OTC1600087,Buy,USR1709,USR1681,CRY9,67.97,1646.96,CUR1,2024-02-01 05:16:00.001015
OTC1600088,Sell,USR5637,USR4139,CRY5,32.32,2216.5,CUR26,2023-11-18 03:59:02.164793
OTC1600089,Buy,USR5709,USR2266,CRY5,26.28,7867.62,CUR20,2023-04-22 04:29:40.557762
OTC1600090,Sell,USR8657,USR2295,CRY7,63.59,4713.25,CUR17,2023-09-26 19:59:48.010574
OTC1600091,Buy,USR2889,USR3897,CRY10,18.21,1808.01,CUR13,2023-11-10 05:29:16.881177
OTC1600092,Sell,USR1519,USR1002,CRY1,16.87,878.44,CUR8,2023-11-17 14:00:39.771188
OTC1600093,Buy,USR1011,USR1585,CRY8,50.04,4907.84,CUR1,2024-01-12 09:11:05.878977
OTC1600094,Buy,USR6323,USR7297,CRY9,60.15,8671.3,CUR7,2023-08-05 21:30:29.302166
OTC1600095,Buy,USR7542,USR4959,CRY6,6.6,2991.0,CUR29,2023-03-05 22:57:45.699526
OTC1600096,Sell,USR6447,USR9374,CRY7,68.45,3367.09,CUR9,2024-01-19 21:26:25.422166
OTC1600097,Buy,USR4573,USR475,CRY9,3.2,1953.84,CUR26,2023-02-28 02:54:13.313741
OTC1600098,Sell,USR1997,USR3131,CRY2,32.17,7714.13,CUR25,2023-03-31 05:47:40.402147
OTC1600099,Sell,USR2810,USR2993,CRY7,37.59,6738.12,CUR7,2023-06-29 11:00:39.933595
OTC1600100,Buy,USR5421,USR2298,CRY4,43.91,6604.58,CUR12,2023-11-09 14:03:14.182136
OTC1600101,Buy,USR5162,USR2287,CRY10,82.22,7452.65,CUR3,2023-07-20 19:56:29.225792
