OrderID,OrderType,SellerUserID,BuyerUserID,CryptocurrencyID,CryptoAmount,FiatAmount,FiatID,Timestamp
OTC300001,Sell,USR6392,USR8909,CRY4,6.87,8582.76,CUR24,2023-05-01 07:39:43.310777
OTC300002,Sell,USR9717,USR9116,CRY3,4.8,2177.98,CUR21,2024-02-05 08:43:46.169208
OTC300003,Buy,USR6336,USR5257,CRY9,73.1,6627.44,CUR22,2023-09-11 21:45:57.381858
OTC300004,Sell,USR2677,USR9834,CRY3,1.68,9769.51,CUR30,2023-06-07 11:58:15.466819
OTC300005,Buy,USR3895,USR7673,CRY2,68.06,1202.09,CUR12,2023-10-30 08:35:44.454182
OTC300006,Buy,USR6019,USR5282,CRY7,75.25,1500.75,CUR24,2023-05-05 13:14:20.729552
OTC300007,Buy,USR9986,USR9333,CRY2,64.78,4908.97,CUR5,2024-01-24 06:07:24.313786
OTC300008,Sell,USR3537,USR7302,CRY1,41.86,3278.61,CUR11,2024-01-21 07:00:42.091450
OTC300009,Sell,USR6896,USR8115,CRY10,82.23,4762.86,CUR15,2023-09-24 03:38:40.140774
OTC300010,Buy,USR7645,USR3721,CRY10,44.01,6931.15,CUR5,2023-05-07 14:30:38.145989
OTC300011,Buy,USR7048,USR3438,CRY8,38.83,5980.39,CUR13,2023-03-05 03:07:36.838010
OTC300012,Buy,USR5574,USR7297,CRY1,26.34,5211.97,CUR11,2023-02-24 19:18:04.307851
OTC300013,Buy,USR4810,USR2140,CRY7,71.36,7971.92,CUR2,2024-01-28 17:26:14.999927
OTC300014,Sell,USR4005,USR736,CRY9,94.99,6764.72,CUR17,2023-07-25 17:35:07.182623
OTC300015,Sell,USR3628,USR7720,CRY4,83.48,5467.38,CUR14,2024-02-02 14:57:17.442924
OTC300016,Sell,USR4087,USR2953,CRY9,79.67,8571.29,CUR4,2023-09-08 18:07:17.367771
OTC300017,Sell,USR700,USR9640,CRY10,50.44,7590.66,CUR4,2023-09-27 00:52:27.687239
OTC300018,Sell,USR2794,USR8939,CRY7,10.29,8593.66,CUR3,2023-12-21 10:42:31.029456
OTC300019,Buy,USR7041,USR9493,CRY1,78.01,2367.42,CUR5,2023-09-08 04:39:04.762673
OTC300020,Sell,USR9584,USR6588,CRY5,9.71,1381.74,CUR30,2023-03-13 04:02:35.016620
OTC300021,Buy,USR2253,USR3678,CRY3,19.36,5340.38,CUR22,2023-10-23 03:25:27.423475
OTC300022,Sell,USR1313,USR3662,CRY5,72.83,1968.16,CUR27,2023-06-01 22:44:39.023217
OTC300023,Sell,USR923,USR7328,CRY9,11.38,5072.3,CUR2,2023-07-19 01:47:59.844929
OTC300024,Buy,USR2255,USR8096,CRY7,82.18,1386.35,CUR9,2023-09-02 15:05:14.113447
OTC300025,Sell,USR7488,USR5371,CRY7,1.91,9114.45,CUR24,2023-02-27 08:06:36.795547
OTC300026,Buy,USR3867,USR8859,CRY10,36.73,9718.13,CUR20,2024-01-08 21:14:45.934142
OTC300027,Buy,USR653,USR90,CRY8,89.34,8602.58,CUR8,2023-12-14 03:04:03.487611
OTC300028,Sell,USR4689,USR9247,CRY10,31.47,9583.04,CUR30,2023-12-13 21:50:55.337058
OTC300029,Sell,USR5558,USR2064,CRY5,90.48,8587.01,CUR23,2023-07-09 07:44:39.930956
OTC300030,Sell,USR8108,USR4589,CRY7,7.15,8757.67,CUR3,2024-01-12 10:48:43.336303
OTC300031,Buy,USR3091,USR1797,CRY1,44.41,9224.88,CUR1,2023-10-21 10:40:43.900868
OTC300032,Sell,USR8881,USR6238,CRY6,3.35,1070.27,CUR9,2023-07-06 10:06:13.176011
OTC300033,Buy,USR424,USR5525,CRY10,49.85,2040.64,CUR3,2023-03-30 12:49:21.982772
OTC300034,Buy,USR5768,USR7650,CRY7,93.63,4981.53,CUR16,2023-07-13 01:18:48.291285
OTC300035,Buy,USR6121,USR2092,CRY4,2.94,5718.43,CUR12,2023-02-26 14:52:36.599478
OTC300036,Buy,USR599,USR8060,CRY6,36.71,1124.58,CUR6,2023-06-13 14:37:06.456776
OTC300037,Sell,USR3010,USR2730,CRY1,21.96,7793.35,CUR23,2023-06-05 06:42:35.207013
OTC300038,Sell,USR9961,USR493,CRY3,19.86,9319.23,CUR27,2024-02-07 01:00:35.203336
OTC300039,Buy,USR1489,USR6544,CRY3,57.31,4589.43,CUR2,2023-12-22 18:44:01.328666
OTC300040,Buy,USR329,USR9490,CRY4,5.37,6923.63,CUR4,2023-10-29 20:49:58.575244
OTC300041,Sell,USR6113,USR2372,CRY6,68.89,6005.62,CUR23,2023-12-16 08:42:37.700032
OTC300042,Sell,USR3130,USR4923,CRY8,82.55,4306.08,CUR10,2023-05-25 22:11:32.086079
OTC300043,Sell,USR2429,USR8678,CRY4,76.55,7526.85,CUR9,2023-08-16 16:28:32.530873
OTC300044,Sell,USR2311,USR1326,CRY6,16.95,6313.14,CUR4,2023-06-30 00:51:08.565788
OTC300045,Sell,USR2172,USR5629,CRY2,9.94,1676.95,CUR8,2023-06-10 20:06:17.407808
OTC300046,Sell,USR4701,USR6870,CRY6,33.57,1059.89,CUR3,2023-10-09 07:02:12.740663
OTC300047,Sell,USR2831,USR9816,CRY5,49.45,8609.27,CUR2,2023-07-28 10:12:23.518629
OTC300048,Sell,USR5697,USR111,CRY10,64.31,9123.91,CUR3,2023-11-02 23:15:54.170342
OTC300049,Buy,USR5123,USR1368,CRY4,56.56,2600.2,CUR16,2023-12-16 07:23:35.937698
OTC300050,Sell,USR2644,USR8185,CRY7,67.94,4447.45,CUR11,2023-10-21 07:52:54.518494
OTC300051,Sell,USR9536,USR5045,CRY7,68.85,3880.23,CUR14,2023-10-27 07:54:01.840299
OTC300052,Buy,USR9096,USR7961,CRY9,95.89,5955.47,CUR9,2023-10-31 09:05:16.754204
OTC300053,Buy,USR3631,USR5103,CRY3,65.43,6584.99,CUR25,2024-01-05 13:59:50.619617
OTC300054,Sell,USR4878,USR8176,CRY9,84.68,3928.3,CUR6,2023-09-21 13:32:05.941941
OTC300055,Buy,USR9664,USR2605,CRY2,83.24,2562.73,CUR18,2023-06-26 09:22:56.559343
OTC300056,Buy,USR3619,USR9927,CRY7,7.13,349.34,CUR2,2024-01-27 11:09:19.530714
OTC300057,Buy,USR1428,USR163,CRY9,62.84,566.47,CUR26,2023-07-09 05:15:04.591050
OTC300058,Buy,USR4265,USR8729,CRY6,93.93,3519.83,CUR16,2023-06-11 15:36:31.575904
OTC300059,Sell,USR1080,USR6245,CRY5,66.31,212.29,CUR1,2023-04-16 18:07:50.104306
OTC300060,Buy,USR3897,USR8116,CRY9,44.91,7625.08,CUR13,2023-09-22 12:09:04.543046
OTC300061,Sell,USR1130,USR4050,CRY1,91.67,8364.74,CUR22,2024-01-19 15:07:42.082971
OTC300062,Buy,USR9864,USR2144,CRY4,4.61,1957.71,CUR5,2023-07-12 07:22:23.579493
OTC300063,Buy,USR6111,USR1827,CRY8,55.53,3675.26,CUR28,2023-11-19 16:51:54.203125
OTC300064,Buy,USR3449,USR1843,CRY8,34.74,6944.13,CUR9,2023-06-01 16:34:00.284486
OTC300065,Sell,USR62,USR3819,CRY7,96.44,1221.24,CUR11,2023-06-01 07:32:18.544434
OTC300066,Buy,USR9648,USR5087,CRY1,6.42,6693.77,CUR3,2023-08-21 06:19:26.901974
OTC300067,Sell,USR1035,USR9411,CRY7,95.53,1541.95,CUR12,2023-04-16 08:10:43.349062
OTC300068,Sell,USR3844,USR9182,CRY10,64.22,7506.97,CUR8,2023-08-05 01:20:46.009052
OTC300069,Sell,USR6081,USR139,CRY1,87.92,3902.24,CUR24,2023-09-14 14:38:43.778420
