OrderID,TransType,UserID,FiatID,FiatAmount,Timestamp
FiatTrans600001,Fiat Withdrawl,USR3801,CUR19,5816.48,2023-11-26 15:51:08.927334
FiatTrans600002,Fiat Withdrawl,USR7846,CUR17,942.82,2023-12-17 18:19:44.207949
FiatTrans600003,Fiat Withdrawl,USR7979,CUR6,1783.21,2023-12-27 00:30:46.330118
FiatTrans600004,Fiat Withdrawl,USR6531,CUR6,217.7,2023-11-05 13:42:02.133504
FiatTrans600005,Fiat Withdrawl,USR5618,CUR28,8046.38,2023-02-14 00:09:29.342285
FiatTrans600006,Fiat Deposit,USR1044,CUR7,1808.19,2024-02-10 14:46:15.053529
FiatTrans600007,Fiat Withdrawl,USR1772,CUR27,8459.29,2023-03-30 04:57:35.770756
FiatTrans600008,Fiat Deposit,USR8401,CUR19,6039.95,2023-10-02 09:37:29.524775
FiatTrans600009,Fiat Deposit,USR7566,CUR16,4753.69,2024-01-15 03:02:46.281027
FiatTrans600010,Fiat Deposit,USR2445,CUR26,7258.08,2023-04-27 18:20:09.242783
FiatTrans600011,Fiat Withdrawl,USR4954,CUR19,8137.27,2023-07-26 03:20:44.470177
FiatTrans600012,Fiat Withdrawl,USR6020,CUR26,393.72,2023-11-12 01:56:31.326356
FiatTrans600013,Fiat Withdrawl,USR9613,CUR5,1512.39,2023-12-30 09:20:27.908651
FiatTrans600014,Fiat Deposit,USR8515,CUR21,8299.42,2023-12-11 18:02:38.598202
FiatTrans600015,Fiat Deposit,USR727,CUR6,6343.37,2023-06-08 06:33:16.471829
FiatTrans600016,Fiat Withdrawl,USR7393,CUR11,2338.66,2024-01-30 02:45:35.939223
FiatTrans600017,Fiat Withdrawl,USR6760,CUR30,2217.79,2023-12-18 21:00:37.047589
FiatTrans600018,Fiat Deposit,USR7018,CUR29,8562.67,2023-11-05 17:16:20.833668
FiatTrans600019,Fiat Withdrawl,USR9880,CUR5,5196.68,2024-01-02 01:05:37.337265
FiatTrans600020,Fiat Withdrawl,USR8304,CUR8,4915.87,2024-01-18 14:45:44.900784
FiatTrans600021,Fiat Withdrawl,USR2492,CUR6,4510.24,2023-09-11 23:48:44.147166
FiatTrans600022,Fiat Deposit,USR1813,CUR2,3524.97,2023-03-29 11:24:55.641092
FiatTrans600023,Fiat Deposit,USR9368,CUR29,5500.55,2023-03-10 05:31:56.418983
FiatTrans600024,Fiat Deposit,USR6490,CUR13,4742.63,2023-02-18 07:00:25.943906
FiatTrans600025,Fiat Withdrawl,USR6184,CUR12,9661.71,2024-01-27 09:53:28.528468
FiatTrans600026,Fiat Deposit,USR3686,CUR17,475.23,2023-03-17 20:27:15.126295
FiatTrans600027,Fiat Deposit,USR9166,CUR4,7624.98,2023-03-26 22:08:10.719670
FiatTrans600028,Fiat Deposit,USR3476,CUR2,6553.01,2023-11-26 11:25:58.943379
FiatTrans600029,Fiat Deposit,USR7416,CUR17,5697.12,2023-12-27 09:16:35.511782
FiatTrans600030,Fiat Withdrawl,USR4916,CUR11,7494.49,2023-05-06 13:44:29.559198
FiatTrans600031,Fiat Withdrawl,USR731,CUR12,5693.76,2023-08-19 07:00:52.999033
FiatTrans600032,Fiat Deposit,USR3492,CUR27,8991.7,2023-06-09 00:32:54.699534
FiatTrans600033,Fiat Deposit,USR3321,CUR1,3380.79,2024-01-29 22:56:16.180041
FiatTrans600034,Fiat Withdrawl,USR4305,CUR19,3029.17,2024-02-09 07:36:45.830009
FiatTrans600035,Fiat Deposit,USR8788,CUR1,5142.49,2023-07-16 05:32:50.006155
FiatTrans600036,Fiat Withdrawl,USR1118,CUR6,5382.27,2023-07-10 20:46:50.430989
FiatTrans600037,Fiat Withdrawl,USR3868,CUR8,651.01,2023-12-04 15:37:46.586286
FiatTrans600038,Fiat Deposit,USR3299,CUR4,7943.58,2023-07-05 14:19:39.106183
FiatTrans600039,Fiat Withdrawl,USR9921,CUR1,4455.27,2023-10-14 19:33:49.856071
FiatTrans600040,Fiat Deposit,USR7348,CUR24,5580.72,2023-12-29 11:26:39.929304
FiatTrans600041,Fiat Withdrawl,USR8870,CUR28,5979.74,2023-11-24 07:13:26.485530
FiatTrans600042,Fiat Withdrawl,USR3520,CUR7,2043.96,2024-02-02 17:07:08.037543
FiatTrans600043,Fiat Deposit,USR2114,CUR24,4028.59,2023-09-25 08:44:27.531508
FiatTrans600044,Fiat Withdrawl,USR5589,CUR18,144.06,2023-10-25 08:34:45.889365
FiatTrans600045,Fiat Deposit,USR1386,CUR22,6714.49,2023-07-21 00:25:55.769419
FiatTrans600046,Fiat Deposit,USR8139,CUR2,9400.56,2023-11-29 21:00:51.848971
FiatTrans600047,Fiat Deposit,USR6890,CUR28,5334.88,2023-06-09 20:19:48.206241
FiatTrans600048,Fiat Deposit,USR8601,CUR28,6300.54,2023-12-30 18:00:56.617061
FiatTrans600049,Fiat Deposit,USR8823,CUR9,1189.06,2023-07-02 00:44:29.933921
FiatTrans600050,Fiat Withdrawl,USR9546,CUR1,4050.19,2023-09-19 17:08:54.096763
FiatTrans600051,Fiat Deposit,USR2373,CUR30,6485.14,2023-10-18 13:59:11.520691
FiatTrans600052,Fiat Deposit,USR9413,CUR21,2452.48,2023-06-02 01:33:50.354278
FiatTrans600053,Fiat Deposit,USR1516,CUR14,3136.06,2023-08-11 07:08:51.527052
FiatTrans600054,Fiat Withdrawl,USR354,CUR5,9174.89,2023-09-10 15:53:51.511649
FiatTrans600055,Fiat Deposit,USR126,CUR28,572.23,2023-08-24 17:42:56.946922
FiatTrans600056,Fiat Deposit,USR4776,CUR12,3191.4,2023-04-30 19:42:27.280070
FiatTrans600057,Fiat Deposit,USR2921,CUR21,698.32,2023-09-28 01:42:24.461786
FiatTrans600058,Fiat Deposit,USR6044,CUR12,8986.69,2023-10-14 11:16:58.881921
FiatTrans600059,Fiat Deposit,USR4952,CUR7,1765.74,2023-12-02 16:42:27.959974
FiatTrans600060,Fiat Withdrawl,USR9688,CUR10,9398.63,2023-04-25 16:55:50.167859
FiatTrans600061,Fiat Withdrawl,USR2914,CUR17,7928.37,2023-12-22 15:09:25.494456
FiatTrans600062,Fiat Deposit,USR4804,CUR17,2223.31,2023-04-29 09:10:47.045990
FiatTrans600063,Fiat Deposit,USR380,CUR23,9937.53,2023-03-07 00:06:54.850581
FiatTrans600064,Fiat Withdrawl,USR7147,CUR10,9470.14,2023-10-26 06:18:48.399407
FiatTrans600065,Fiat Deposit,USR2534,CUR11,1888.73,2023-06-12 18:50:39.820779
FiatTrans600066,Fiat Withdrawl,USR5720,CUR21,9270.77,2023-10-26 21:29:58.957590
FiatTrans600067,Fiat Withdrawl,USR8476,CUR26,7638.34,2023-08-27 22:59:09.522811
FiatTrans600068,Fiat Deposit,USR229,CUR1,7359.46,2023-04-02 01:31:27.182605
FiatTrans600069,Fiat Deposit,USR1301,CUR5,5069.36,2023-10-28 13:57:27.163364
FiatTrans600070,Fiat Withdrawl,USR1187,CUR1,5975.06,2023-09-21 14:25:51.290195
FiatTrans600071,Fiat Withdrawl,USR4339,CUR10,1030.68,2023-11-21 02:49:14.747236
FiatTrans600072,Fiat Deposit,USR3043,CUR2,9029.68,2024-01-17 07:23:34.964595
FiatTrans600073,Fiat Deposit,USR5235,CUR15,6212.22,2023-03-16 14:17:54.609048
FiatTrans600074,Fiat Deposit,USR2987,CUR12,5774.1,2023-08-23 08:52:22.226334
FiatTrans600075,Fiat Withdrawl,USR3617,CUR10,928.27,2024-02-05 09:48:55.979413
FiatTrans600076,Fiat Withdrawl,USR7677,CUR17,9277.44,2023-08-19 13:36:01.309056
FiatTrans600077,Fiat Deposit,USR3326,CUR27,2981.58,2023-07-02 17:10:01.427401
FiatTrans600078,Fiat Withdrawl,USR9558,CUR20,1164.31,2023-03-09 20:50:03.931471
FiatTrans600079,Fiat Deposit,USR2235,CUR2,9085.9,2023-10-19 22:31:11.505858
FiatTrans600080,Fiat Withdrawl,USR3166,CUR8,7262.08,2023-07-28 10:49:05.540416
FiatTrans600081,Fiat Deposit,USR9113,CUR16,4956.52,2024-01-16 02:05:11.308397
FiatTrans600082,Fiat Deposit,USR5883,CUR28,1135.32,2023-12-19 09:17:43.917382
FiatTrans600083,Fiat Deposit,USR3512,CUR2,403.86,2024-02-08 07:03:01.638933
FiatTrans600084,Fiat Withdrawl,USR7301,CUR20,4044.7,2023-08-27 14:01:23.398475
FiatTrans600085,Fiat Withdrawl,USR7492,CUR9,9036.06,2023-06-12 18:19:01.888560
FiatTrans600086,Fiat Withdrawl,USR2617,CUR22,5806.73,2023-06-10 10:47:44.988078
FiatTrans600087,Fiat Withdrawl,USR2213,CUR4,9651.06,2023-08-23 02:18:52.687221
FiatTrans600088,Fiat Deposit,USR4097,CUR18,8781.69,2023-12-28 14:58:27.223866
FiatTrans600089,Fiat Deposit,USR1806,CUR15,1574.53,2023-08-14 14:35:38.350966
FiatTrans600090,Fiat Withdrawl,USR8513,CUR26,4835.9,2023-11-12 15:20:28.521569
FiatTrans600091,Fiat Withdrawl,USR7576,CUR21,2954.29,2023-12-11 07:11:05.052333
FiatTrans600092,Fiat Deposit,USR6168,CUR26,5714.67,2023-09-11 12:44:10.627994
FiatTrans600093,Fiat Withdrawl,USR8148,CUR9,6857.95,2023-10-18 09:42:54.079206
FiatTrans600094,Fiat Deposit,USR6269,CUR19,2029.41,2023-07-10 03:06:40.147761
FiatTrans600095,Fiat Withdrawl,USR3307,CUR7,977.11,2023-08-05 07:01:51.057681
FiatTrans600096,Fiat Deposit,USR3822,CUR14,3382.38,2023-11-15 05:19:38.295747
FiatTrans600097,Fiat Withdrawl,USR5911,CUR30,650.9,2023-06-19 00:16:32.769216
FiatTrans600098,Fiat Deposit,USR4558,CUR13,1771.21,2023-08-21 02:44:30.585986
FiatTrans600099,Fiat Withdrawl,USR2964,CUR8,769.11,2023-06-17 04:50:57.281594
FiatTrans600100,Fiat Withdrawl,USR404,CUR25,4429.69,2023-04-19 03:59:21.971828
FiatTrans600101,Fiat Withdrawl,USR7429,CUR17,4570.4,2023-06-19 06:11:46.752818
FiatTrans600102,Fiat Withdrawl,USR5781,CUR26,1777.11,2023-09-25 20:36:12.662878
FiatTrans600103,Fiat Withdrawl,USR4688,CUR22,6318.65,2024-02-07 15:59:54.436130
FiatTrans600104,Fiat Deposit,USR5394,CUR22,6309.3,2023-10-19 14:52:52.643344
FiatTrans600105,Fiat Withdrawl,USR5185,CUR9,1378.48,2023-11-21 03:45:54.029412
FiatTrans600106,Fiat Withdrawl,USR8342,CUR12,5129.9,2023-12-20 20:39:32.110569
