ReportID,UserID,TradeID,ReportDate,ReportedAmount
TAX640001,USR8706,SPT1947980,2023-04-25,29729.94
TAX640002,USR8751,SPT10279,2022-12-13,20775.35
TAX640003,USR576,SPT102722,2023-06-17,24844.16
TAX640004,USR6351,SPT1212733,2022-03-20,36230.96
TAX640005,USR4657,SPT172736,2023-04-05,7232.69
TAX640006,USR7428,SPT561370,2022-12-16,17825.24
TAX640007,USR355,SPT1354502,2022-10-27,4624.9
TAX640008,USR2675,SPT300393,2022-11-22,28530.24
TAX640009,USR338,SPT205867,2022-03-01,34881.45
TAX640010,USR2579,SPT1395930,2023-04-10,10373.86
TAX640011,USR3574,SPT862394,2023-04-29,11853.44
TAX640012,USR4154,SPT811248,2023-04-01,1559.09
TAX640013,USR422,SPT477029,2022-06-30,48900.56
TAX640014,USR6789,SPT1306580,2023-04-21,18288.89
TAX640015,USR8975,SPT91416,2023-10-04,11466.14
TAX640016,USR1808,SPT1550532,2024-02-03,49146.27
TAX640017,USR1374,SPT186325,2023-05-11,35940.92
TAX640018,USR4407,SPT197619,2022-08-13,47147.74
TAX640019,USR1492,SPT1584874,2023-05-22,40011.73
TAX640020,USR4824,SPT235043,2023-06-04,23148.4
TAX640021,USR602,SPT879384,2023-08-20,31825.39
TAX640022,USR8946,SPT334057,2023-05-31,7057.76
TAX640023,USR8850,SPT749897,2022-02-11,14647.27
TAX640024,USR1692,SPT741981,2023-11-20,31509.44
TAX640025,USR6048,SPT1397374,2022-10-27,48321.82
TAX640026,USR3862,SPT505568,2022-11-15,26876.33
TAX640027,USR1394,SPT1589575,2022-08-14,13538.85
TAX640028,USR3895,SPT941592,2022-09-19,1067.85
TAX640029,USR306,SPT261663,2023-05-07,35787.35
TAX640030,USR3231,SPT1136464,2023-01-07,2631.99
TAX640031,USR8206,SPT1331843,2022-05-14,37108.09
TAX640032,USR8100,SPT199130,2023-12-28,12939.31
TAX640033,USR3932,SPT1417148,2022-04-28,36674.5
TAX640034,USR9464,SPT1481955,2022-09-13,20417.95
TAX640035,USR2577,SPT351945,2022-12-29,13921.88
TAX640036,USR8719,SPT165707,2022-08-02,22362.46
TAX640037,USR8998,SPT1781146,2023-07-06,33425.04
TAX640038,USR2680,SPT1669109,2023-01-14,22297.74
TAX640039,USR4949,SPT1579988,2022-02-25,24067.17
TAX640040,USR6794,SPT79481,2024-01-05,28076.99
TAX640041,USR3011,SPT530998,2024-02-07,9256.69
TAX640042,USR1892,SPT7714,2023-06-11,12246.56
TAX640043,USR1229,SPT648847,2023-07-15,3247.92
TAX640044,USR1259,SPT786202,2023-11-12,14881.61
TAX640045,USR8526,SPT1884804,2022-04-18,34572.94
TAX640046,USR9260,SPT1197878,2022-06-19,46368.88
TAX640047,USR4886,SPT1835200,2024-02-01,48150.62
TAX640048,USR7792,SPT595751,2023-08-05,9515.4
TAX640049,USR3689,SPT1258416,2022-08-07,30456.2
TAX640050,USR1954,SPT1690125,2023-09-20,29794.4
TAX640051,USR4603,SPT1660235,2023-03-02,28737.09
TAX640052,USR162,SPT1562324,2022-03-21,47839.92
TAX640053,USR9393,SPT191863,2023-10-01,10378.99
TAX640054,USR9526,SPT323838,2023-05-25,12952.91
TAX640055,USR5885,SPT1356908,2023-11-27,17029.35
TAX640056,USR821,SPT554644,2022-12-04,39288.26
TAX640057,USR9491,SPT1366236,2022-05-12,26456.09
TAX640058,USR4549,SPT492339,2022-05-15,5365.57
TAX640059,USR7524,SPT1100889,2023-04-25,47501.23
TAX640060,USR8917,SPT1105376,2023-01-27,24287.1
TAX640061,USR8576,SPT474278,2024-01-07,15864.12
TAX640062,USR6221,SPT1000309,2022-11-30,34983.02
TAX640063,USR6061,SPT509806,2023-09-10,31587.22
TAX640064,USR5777,SPT191492,2023-05-21,22068.71
TAX640065,USR6111,SPT679315,2023-03-18,39505.97
TAX640066,USR8076,SPT524654,2023-10-18,28677.9
TAX640067,USR3564,SPT1205524,2023-03-19,27976.48
TAX640068,USR4653,SPT1076964,2022-10-20,23891.69
TAX640069,USR1370,SPT443842,2023-07-02,3321.82
TAX640070,USR9209,SPT600682,2023-11-08,3216.93
TAX640071,USR7711,SPT398998,2022-08-19,43098.74
TAX640072,USR9981,SPT182811,2023-06-27,41072.77
TAX640073,USR6024,SPT123777,2022-03-28,35473.0
TAX640074,USR3365,SPT1943969,2023-09-16,18481.9
TAX640075,USR6709,SPT1878762,2023-03-07,19315.13
TAX640076,USR5036,SPT1740022,2022-07-15,37998.17
TAX640077,USR9620,SPT1698508,2023-04-06,32018.93
TAX640078,USR4471,SPT1859793,2022-03-07,43914.97
TAX640079,USR8452,SPT226218,2022-08-10,13222.87
TAX640080,USR163,SPT185091,2023-01-09,10690.16
TAX640081,USR6310,SPT1137393,2022-09-14,38532.6
TAX640082,USR4672,SPT1590333,2022-12-11,18327.07
TAX640083,USR9299,SPT1317882,2023-04-12,16385.49
TAX640084,USR9687,SPT718003,2023-07-13,43128.44
TAX640085,USR9081,SPT264964,2022-04-12,35553.51
TAX640086,USR9488,SPT28746,2023-03-28,28252.93
TAX640087,USR460,SPT203167,2023-05-23,24471.37
TAX640088,USR8849,SPT560037,2022-11-24,26096.56
TAX640089,USR8427,SPT1651309,2022-11-18,5258.26
TAX640090,USR6201,SPT1254845,2023-05-13,11556.46
TAX640091,USR7786,SPT529499,2023-11-26,19328.45
TAX640092,USR304,SPT1877614,2023-06-30,17892.06
TAX640093,USR3731,SPT1631346,2024-02-09,17619.14
TAX640094,USR4305,SPT1863746,2023-02-20,47570.65
