ReportID,UserID,TradeID,ReportDate,ReportedAmount
TAX1560001,USR5391,SPT933887,2022-04-06,6614.17
TAX1560002,USR3889,SPT909788,2024-02-08,16265.94
TAX1560003,USR1326,SPT1435922,2022-02-14,34357.03
TAX1560004,USR6318,SPT846474,2023-05-20,41890.91
TAX1560005,USR5490,SPT718097,2023-12-16,44296.03
TAX1560006,USR1719,SPT487313,2022-09-07,35712.99
TAX1560007,USR1944,SPT1252436,2023-07-04,18576.52
TAX1560008,USR8345,SPT765700,2023-10-10,36439.58
TAX1560009,USR5604,SPT352434,2022-05-19,24695.68
TAX1560010,USR8210,SPT105108,2022-12-07,20354.45
TAX1560011,USR2058,SPT113215,2022-08-02,33614.78
TAX1560012,USR8110,SPT291679,2023-01-05,4150.14
TAX1560013,USR4557,SPT477278,2023-04-03,26653.27
TAX1560014,USR8822,SPT1984927,2022-08-04,47365.31
TAX1560015,USR8155,SPT1980,2022-09-18,27150.85
TAX1560016,USR582,SPT1149987,2023-12-03,17550.9
TAX1560017,USR8666,SPT1596687,2022-09-29,24916.94
TAX1560018,USR375,SPT1817277,2022-11-12,7491.92
TAX1560019,USR39,SPT609561,2023-12-13,40314.18
TAX1560020,USR2935,SPT656580,2023-09-09,37634.44
TAX1560021,USR3458,SPT376655,2023-03-22,6625.27
TAX1560022,USR8214,SPT1034532,2022-11-03,35925.45
TAX1560023,USR6377,SPT1397340,2023-02-16,9333.97
TAX1560024,USR8765,SPT538406,2022-12-08,35337.81
TAX1560025,USR3725,SPT615550,2023-09-09,19869.72
TAX1560026,USR8417,SPT1290229,2022-12-17,13996.97
TAX1560027,USR2876,SPT1064516,2023-10-06,6410.06
TAX1560028,USR819,SPT711797,2023-09-19,37639.83
TAX1560029,USR3350,SPT122411,2023-03-15,16166.81
TAX1560030,USR1342,SPT949030,2023-09-11,34417.85
TAX1560031,USR7568,SPT1664720,2023-10-06,18647.81
TAX1560032,USR8002,SPT1282410,2022-03-06,14351.02
TAX1560033,USR9256,SPT1104939,2022-08-25,42038.72
TAX1560034,USR2226,SPT1127908,2022-12-26,10329.02
TAX1560035,USR6643,SPT1803319,2023-05-28,46918.43
TAX1560036,USR4208,SPT1417283,2022-08-26,18949.6
TAX1560037,USR1272,SPT30317,2023-12-03,12749.43
TAX1560038,USR2714,SPT854882,2023-06-21,45162.3
TAX1560039,USR3386,SPT1368698,2023-08-26,4362.46
TAX1560040,USR5407,SPT1379910,2023-03-17,49017.02
TAX1560041,USR6558,SPT1444520,2023-02-14,13996.39
TAX1560042,USR2629,SPT304653,2023-05-20,49473.69
TAX1560043,USR2846,SPT216252,2022-10-01,45937.6
TAX1560044,USR9977,SPT348808,2023-10-29,19437.58
TAX1560045,USR2528,SPT1598517,2022-09-26,24513.31
TAX1560046,USR2886,SPT876563,2024-01-01,43365.29
TAX1560047,USR8402,SPT256325,2022-05-03,10205.32
TAX1560048,USR3412,SPT1676988,2023-02-08,28738.42
TAX1560049,USR767,SPT694822,2022-03-26,3245.3
TAX1560050,USR8726,SPT96389,2022-06-29,18191.37
TAX1560051,USR1314,SPT374814,2022-11-23,38048.09
TAX1560052,USR661,SPT182968,2023-09-25,27130.39
TAX1560053,USR5875,SPT1901602,2023-02-16,20033.41
TAX1560054,USR4225,SPT1358382,2022-11-03,35727.53
TAX1560055,USR1754,SPT1987651,2024-02-07,14559.48
TAX1560056,USR8440,SPT219539,2023-12-07,43529.81
TAX1560057,USR8162,SPT1904996,2022-12-09,46374.61
TAX1560058,USR4266,SPT1004373,2022-05-10,29077.04
TAX1560059,USR4911,SPT393850,2023-09-01,26195.27
TAX1560060,USR6799,SPT734368,2022-05-07,46877.5
TAX1560061,USR1511,SPT926934,2022-09-17,4202.23
TAX1560062,USR889,SPT1358286,2023-01-25,22274.66
TAX1560063,USR4343,SPT60921,2023-12-19,14234.51
TAX1560064,USR5742,SPT438940,2024-01-22,4862.5
TAX1560065,USR2923,SPT1893737,2022-03-18,30368.81
TAX1560066,USR9235,SPT1254770,2023-08-10,42898.11
TAX1560067,USR483,SPT1404427,2022-08-10,35079.27
TAX1560068,USR495,SPT1474051,2022-04-29,49559.55
TAX1560069,USR9265,SPT1497279,2023-02-04,3927.45
TAX1560070,USR8123,SPT454221,2023-01-29,12848.82
TAX1560071,USR3587,SPT1628184,2024-02-08,34676.23
TAX1560072,USR3685,SPT1259611,2023-08-06,34195.96
TAX1560073,USR686,SPT934701,2024-02-05,13417.1
TAX1560074,USR1726,SPT1179409,2022-12-01,6982.75
TAX1560075,USR7537,SPT1795379,2022-12-11,15778.74
TAX1560076,USR5492,SPT1343064,2023-07-20,47083.92
TAX1560077,USR6547,SPT1346373,2023-11-14,34429.29
TAX1560078,USR2351,SPT1483502,2022-07-01,25356.99
TAX1560079,USR9868,SPT1450327,2023-07-13,15460.23
TAX1560080,USR3818,SPT223785,2024-01-24,2478.38
TAX1560081,USR5123,SPT1727039,2022-04-21,44585.66
TAX1560082,USR9730,SPT1730565,2022-09-22,8325.81
TAX1560083,USR485,SPT1627910,2022-02-22,12369.02
TAX1560084,USR3967,SPT377446,2022-07-28,35409.19
TAX1560085,USR3950,SPT877878,2023-12-09,32767.15
TAX1560086,USR3691,SPT740686,2022-11-10,21366.48
TAX1560087,USR7580,SPT1029359,2024-01-27,24774.28
TAX1560088,USR6121,SPT1380982,2023-05-22,40401.55
TAX1560089,USR3956,SPT753000,2022-02-11,29785.58
