ReportID,UserID,TradeID,ReportDate,ReportedAmount
TAX1940001,USR1912,SPT1054269,2023-04-23,47829.32
TAX1940002,USR2041,SPT1883443,2023-01-22,42685.56
TAX1940003,USR8510,SPT1346255,2023-02-26,3920.24
TAX1940004,USR9201,SPT1863057,2023-03-12,27547.45
TAX1940005,USR3338,SPT1788093,2022-08-16,34430.29
TAX1940006,USR5841,SPT1242461,2023-10-27,38809.32
TAX1940007,USR7939,SPT154259,2022-11-08,46688.87
TAX1940008,USR6731,SPT350630,2022-10-03,48133.03
TAX1940009,USR6020,SPT1389763,2022-07-22,5237.23
TAX1940010,USR1787,SPT1306895,2023-11-19,25513.4
TAX1940011,USR9289,SPT1445464,2023-11-14,49221.73
TAX1940012,USR4717,SPT434125,2022-07-22,27875.2
TAX1940013,USR1468,SPT906108,2023-08-06,35490.86
TAX1940014,USR5399,SPT607743,2023-01-05,40824.36
TAX1940015,USR7656,SPT1943773,2023-09-06,4131.08
TAX1940016,USR3013,SPT613658,2022-08-16,36175.84
TAX1940017,USR2928,SPT1831215,2023-05-21,43543.12
TAX1940018,USR2717,SPT394408,2022-07-27,15191.02
TAX1940019,USR3359,SPT1210109,2023-09-24,9608.25
TAX1940020,USR3956,SPT1742150,2022-11-19,30729.74
TAX1940021,USR1851,SPT1598415,2023-07-04,32401.81
TAX1940022,USR2389,SPT1733116,2022-09-19,49062.75
TAX1940023,USR8772,SPT1357981,2022-06-15,45057.26
TAX1940024,USR7560,SPT1930731,2023-02-24,14648.94
TAX1940025,USR436,SPT1628262,2023-12-25,48478.68
TAX1940026,USR6266,SPT508959,2023-07-31,44297.54
TAX1940027,USR1175,SPT13538,2023-06-16,2251.45
TAX1940028,USR4515,SPT985244,2022-07-02,7940.0
TAX1940029,USR6179,SPT525184,2022-07-16,16504.29
TAX1940030,USR7720,SPT1170586,2022-05-28,17499.28
TAX1940031,USR656,SPT440458,2023-08-23,39215.18
TAX1940032,USR9274,SPT1622876,2023-11-21,40528.59
TAX1940033,USR7654,SPT1197154,2023-11-06,28303.39
TAX1940034,USR7224,SPT1890952,2023-01-11,28557.69
TAX1940035,USR2250,SPT1268769,2022-10-08,28997.98
TAX1940036,USR8460,SPT1431964,2022-02-21,28861.24
TAX1940037,USR2324,SPT1744741,2023-11-14,34703.07
TAX1940038,USR7704,SPT1267897,2023-08-15,34884.95
TAX1940039,USR8258,SPT1391184,2022-12-02,18056.17
TAX1940040,USR4477,SPT91236,2022-02-28,3534.68
TAX1940041,USR2954,SPT1932140,2022-04-16,44186.6
TAX1940042,USR6807,SPT66266,2024-01-08,10876.85
TAX1940043,USR6419,SPT540251,2023-12-27,6128.01
TAX1940044,USR1255,SPT1069165,2022-03-04,13929.1
TAX1940045,USR2890,SPT1785056,2022-10-27,18229.86
TAX1940046,USR5238,SPT823847,2022-02-18,9633.99
TAX1940047,USR2504,SPT952412,2023-04-01,5761.32
TAX1940048,USR8570,SPT198590,2023-12-27,46867.01
TAX1940049,USR1237,SPT904279,2022-10-10,44633.12
TAX1940050,USR2727,SPT1280133,2023-11-10,11311.06
TAX1940051,USR2185,SPT477991,2022-09-30,15893.05
TAX1940052,USR1638,SPT1570106,2022-02-21,44984.38
TAX1940053,USR1224,SPT641836,2022-04-10,26050.3
TAX1940054,USR73,SPT975379,2023-01-09,32594.84
TAX1940055,USR7004,SPT166175,2023-02-05,35059.81
TAX1940056,USR8210,SPT408941,2023-06-19,27554.32
TAX1940057,USR1411,SPT44124,2023-08-19,39434.94
TAX1940058,USR1385,SPT1141171,2022-07-28,48956.13
TAX1940059,USR449,SPT1136933,2022-11-21,43264.41
TAX1940060,USR1183,SPT1025843,2022-02-27,36216.69
TAX1940061,USR2114,SPT558050,2022-03-29,31874.3
TAX1940062,USR2254,SPT1329906,2022-06-14,5629.33
TAX1940063,USR2063,SPT220623,2023-10-09,3858.41
TAX1940064,USR684,SPT1277480,2022-05-21,2709.2
TAX1940065,USR5180,SPT267131,2023-11-22,26641.27
TAX1940066,USR7365,SPT132055,2022-02-27,11271.23
TAX1940067,USR5112,SPT379585,2023-08-01,26483.12
TAX1940068,USR9489,SPT273849,2023-12-09,8001.63
TAX1940069,USR2482,SPT678139,2022-11-11,34958.14
TAX1940070,USR2963,SPT1492177,2022-08-10,27206.44
TAX1940071,USR8564,SPT334120,2022-03-05,4580.6
TAX1940072,USR7338,SPT156498,2023-09-15,33402.39
TAX1940073,USR1645,SPT462061,2023-06-24,2788.53
TAX1940074,USR8097,SPT1916980,2023-06-01,15388.74
TAX1940075,USR3528,SPT1645737,2023-06-18,40499.74
TAX1940076,USR6444,SPT653838,2023-02-09,32971.99
TAX1940077,USR1793,SPT1778997,2022-10-26,14808.18
TAX1940078,USR7428,SPT1726376,2023-10-29,30682.11
TAX1940079,USR1194,SPT1750365,2022-10-26,31722.1
TAX1940080,USR3314,SPT715394,2022-06-19,7256.7
TAX1940081,USR9947,SPT1622884,2022-04-14,19400.54
TAX1940082,USR415,SPT1723275,2022-04-16,30849.82
TAX1940083,USR2821,SPT1777877,2023-01-17,22634.6
TAX1940084,USR7549,SPT1338927,2024-01-08,21334.27
TAX1940085,USR6332,SPT1326545,2023-09-08,32741.62
TAX1940086,USR129,SPT119956,2022-10-03,31384.87
TAX1940087,USR8317,SPT1454763,2023-04-02,20876.65
TAX1940088,USR2567,SPT1032666,2023-05-21,45555.5
TAX1940089,USR6169,SPT985190,2022-08-07,47065.9
TAX1940090,USR7927,SPT320916,2022-05-13,6566.84
