ReportID,UserID,TradeID,ReportDate,ReportedAmount
TAX200001,USR625,SPT1403372,2022-11-08,15569.33
TAX200002,USR4291,SPT1544169,2023-01-08,6105.81
TAX200003,USR6628,SPT1435587,2023-10-23,45725.36
TAX200004,USR1476,SPT1716313,2022-11-07,47367.68
TAX200005,USR6225,SPT287412,2023-06-06,19451.28
TAX200006,USR4096,SPT1871340,2022-04-20,4221.88
TAX200007,USR6086,SPT1782,2022-03-23,11888.89
TAX200008,USR2641,SPT277476,2022-09-24,43628.42
TAX200009,USR6097,SPT1046898,2022-12-01,43958.15
TAX200010,USR7321,SPT1678846,2023-10-22,49369.55
TAX200011,USR4996,SPT619378,2023-11-21,39179.32
TAX200012,USR342,SPT1161791,2022-06-10,2292.83
TAX200013,USR3215,SPT1499922,2023-12-20,2316.77
TAX200014,USR8187,SPT527986,2022-12-30,45142.41
TAX200015,USR5368,SPT463925,2023-07-27,6758.12
TAX200016,USR976,SPT1524888,2022-03-16,26620.48
TAX200017,USR1874,SPT1130098,2023-10-25,18907.49
TAX200018,USR3982,SPT407128,2022-08-13,42734.35
TAX200019,USR5454,SPT567630,2022-03-04,29076.6
TAX200020,USR1471,SPT998191,2022-08-06,33941.42
TAX200021,USR7140,SPT141390,2022-11-19,8881.39
TAX200022,USR8206,SPT1241693,2023-06-29,36616.51
TAX200023,USR2796,SPT1346013,2023-10-16,6837.22
TAX200024,USR2833,SPT354586,2023-02-01,11037.59
TAX200025,USR2175,SPT600060,2023-03-17,15831.44
TAX200026,USR8249,SPT979243,2023-04-23,48279.39
TAX200027,USR3080,SPT669773,2023-09-14,18029.8
TAX200028,USR8498,SPT505743,2022-08-17,24719.33
TAX200029,USR2271,SPT1281474,2023-09-21,29562.56
TAX200030,USR8896,SPT1591924,2023-03-26,4674.51
TAX200031,USR1729,SPT678316,2023-11-10,19682.41
TAX200032,USR1538,SPT191168,2023-11-01,10944.42
TAX200033,USR4408,SPT20224,2023-05-15,27977.25
TAX200034,USR4927,SPT257418,2022-05-31,5261.29
TAX200035,USR4404,SPT1986494,2022-06-20,40751.45
TAX200036,USR4457,SPT828735,2022-07-02,40341.61
TAX200037,USR9368,SPT245060,2023-12-04,41169.41
TAX200038,USR3245,SPT1904057,2023-12-09,10914.61
TAX200039,USR9366,SPT1487220,2022-05-20,28697.68
TAX200040,USR4686,SPT1300820,2023-10-27,12767.04
TAX200041,USR1309,SPT792912,2023-11-19,42035.37
TAX200042,USR941,SPT873149,2023-02-06,43001.36
TAX200043,USR4373,SPT306450,2022-05-19,35281.79
TAX200044,USR5976,SPT1873380,2023-07-01,11789.59
TAX200045,USR2486,SPT554080,2023-01-03,35699.89
TAX200046,USR879,SPT1311496,2022-03-14,16106.83
TAX200047,USR5813,SPT362229,2022-03-31,43978.91
TAX200048,USR9916,SPT1073741,2022-02-18,44192.75
TAX200049,USR8395,SPT1570646,2023-11-10,11646.09
TAX200050,USR9060,SPT1222984,2023-11-12,35400.42
TAX200051,USR4219,SPT1952722,2023-11-22,41946.64
TAX200052,USR5487,SPT1910651,2022-05-14,37860.03
TAX200053,USR7232,SPT366942,2024-01-31,5733.29
TAX200054,USR6213,SPT1490866,2022-08-13,47138.06
TAX200055,USR2512,SPT270285,2023-11-19,34477.19
TAX200056,USR2690,SPT209744,2024-01-13,37394.68
TAX200057,USR1175,SPT1536644,2022-02-24,4354.65
TAX200058,USR632,SPT153748,2022-12-12,21567.41
TAX200059,USR1879,SPT110254,2023-08-13,41116.48
TAX200060,USR1915,SPT930753,2024-01-24,16163.19
TAX200061,USR852,SPT402405,2023-08-14,29428.38
TAX200062,USR7449,SPT236876,2023-11-13,44126.04
TAX200063,USR8563,SPT1928694,2022-05-17,36435.05
TAX200064,USR9775,SPT1474410,2024-02-06,18047.3
TAX200065,USR1675,SPT434389,2023-01-16,28040.9
TAX200066,USR8744,SPT1953190,2023-05-02,21676.58
TAX200067,USR2016,SPT758842,2022-05-22,41204.99
TAX200068,USR8283,SPT184419,2022-10-01,36431.49
TAX200069,USR1854,SPT961502,2023-03-28,10552.12
TAX200070,USR3141,SPT1958346,2023-04-24,35269.23
TAX200071,USR5131,SPT1753118,2022-11-22,11421.93
TAX200072,USR7731,SPT1343919,2022-08-05,12131.97
TAX200073,USR6303,SPT616506,2023-01-26,39446.42
TAX200074,USR9406,SPT665132,2024-01-28,9099.52
TAX200075,USR7344,SPT1386995,2023-08-29,35605.01
TAX200076,USR1574,SPT1730400,2022-08-27,8059.46
TAX200077,USR2279,SPT1460283,2023-01-23,15150.54
TAX200078,USR956,SPT1822287,2022-05-18,40990.05
TAX200079,USR9064,SPT398733,2022-07-11,31547.73
TAX200080,USR9218,SPT665624,2023-07-21,10548.43
TAX200081,USR6475,SPT208834,2022-05-06,36730.02
TAX200082,USR9334,SPT54304,2022-04-26,41919.15
TAX200083,USR7342,SPT597263,2023-07-20,33061.3
TAX200084,USR4005,SPT417154,2023-11-30,3552.1
TAX200085,USR546,SPT1627351,2022-09-22,47153.53
TAX200086,USR3437,SPT359365,2023-08-11,8064.27
TAX200087,USR1382,SPT55772,2022-08-23,4117.67
TAX200088,USR4100,SPT128993,2023-04-16,19922.36
TAX200089,USR5409,SPT926527,2023-02-09,33564.48
TAX200090,USR4415,SPT1371495,2023-07-31,26640.11
TAX200091,USR280,SPT347990,2022-09-25,18097.85
TAX200092,USR3367,SPT1995060,2023-01-16,1274.41
TAX200093,USR1311,SPT794552,2024-01-01,28000.01
TAX200094,USR7130,SPT1738876,2023-02-28,15158.46
TAX200095,USR7682,SPT709444,2022-08-25,8310.15
TAX200096,USR4112,SPT92911,2023-04-14,16767.96
TAX200097,USR5455,SPT101543,2022-12-28,11354.79
TAX200098,USR8785,SPT22569,2023-06-07,41471.18
TAX200099,USR8395,SPT1180577,2023-05-06,42190.46
TAX200100,USR5502,SPT1446078,2023-03-05,22802.21
TAX200101,USR3470,SPT252944,2022-02-28,15829.53
TAX200102,USR2390,SPT315049,2022-03-07,36252.52
TAX200103,USR2521,SPT583191,2022-12-03,4315.02
TAX200104,USR6467,SPT965860,2023-01-15,40787.87
TAX200105,USR5820,SPT1371569,2023-10-20,47549.19
TAX200106,USR7378,SPT332626,2022-03-21,38011.7
TAX200107,USR481,SPT831771,2023-06-04,11771.32
TAX200108,USR9934,SPT1186063,2023-04-24,19735.74
TAX200109,USR6209,SPT1961756,2023-12-22,37024.0
TAX200110,USR133,SPT954639,2023-11-28,12755.96
TAX200111,USR4394,SPT390963,2023-03-21,26260.44
TAX200112,USR2480,SPT1681295,2023-12-25,32148.41
TAX200113,USR1410,SPT124920,2023-03-25,1785.48
TAX200114,USR4949,SPT1493636,2022-12-25,45033.99
TAX200115,USR5408,SPT885974,2023-11-24,48772.86
TAX200116,USR7255,SPT1434571,2023-11-02,20976.37
TAX200117,USR5052,SPT1869790,2022-07-11,31695.39
TAX200118,USR6350,SPT1520320,2023-07-23,49766.45
TAX200119,USR109,SPT1416841,2023-09-12,46140.13
TAX200120,USR5912,SPT1087321,2023-02-15,4534.6
TAX200121,USR809,SPT766942,2023-02-14,16233.37
TAX200122,USR1989,SPT217631,2023-11-16,44670.63
TAX200123,USR7980,SPT1857321,2022-07-06,23192.62
TAX200124,USR1916,SPT1012242,2023-07-26,45488.8
TAX200125,USR8052,SPT1169718,2022-06-06,3083.35
TAX200126,USR4611,SPT1267298,2023-06-18,2407.33
TAX200127,USR3317,SPT370695,2022-05-23,15358.78
TAX200128,USR6197,SPT1957449,2022-02-24,14070.2
TAX200129,USR1032,SPT214797,2022-06-12,40934.06
TAX200130,USR9795,SPT1804278,2022-12-18,43216.7
TAX200131,USR8482,SPT1821533,2024-01-22,24274.12
TAX200132,USR810,SPT873684,2022-12-29,38899.46
TAX200133,USR1118,SPT1049474,2023-07-08,4687.21
TAX200134,USR3418,SPT951872,2023-06-14,49620.12
TAX200135,USR4390,SPT57956,2022-11-03,30075.68
TAX200136,USR6281,SPT280736,2023-07-26,7366.26
TAX200137,USR2118,SPT1947628,2022-09-14,21973.06
TAX200138,USR7450,SPT140895,2022-02-14,41275.43
TAX200139,USR394,SPT756792,2022-10-09,22147.99
TAX200140,USR1974,SPT1979362,2022-10-29,34910.21
TAX200141,USR743,SPT1889977,2022-08-13,40384.16
